Term (EN),Equivalent (JP),Definition (EN),Context/Example (EN),Section,File
Systems Model Library,システムモデルライブラリ,The Systems Model Library includes models for the base types of all kinds of Definition and Usage elements in SysML.,"The Systems Model Library (see 9.2) is used any time a Definition or Usage element is instantiated in a user model, providing a bridge to the semantic models in the Kernel Model Library [KerML, Clause 8].",9.2,SysML2
AttributeValue,属性値,AttributeValue is the most general type of data values that represent qualities or characteristics of a system or part of a system.,AttributeValue is the base type of all AttributeDefinitions.,9.2.2.2.1,SysML2
attributeValues,属性値群,attributeValues is the base feature for all AttributeUsages.,attributeValues is the base feature for all AttributeUsages.,9.2.2.2.2,SysML2
Item,アイテム,"Item is the most general class of objects that are part of, exist in or flow through a system.",Item is the base type of all ItemDefinitions.,9.2.3.2.1,SysML2
boundingShapes,境界形状,envelopingShapes that are StructuredSpaceObjects with every face or every edge intersecting this Item.,boundingShapes : Item [0..*] {subsets envelopingShapes},9.2.3.2.1,SysML2
checkedConstraints,チェック済み制約,Constraints that have been checked by this Item.,checkedConstraints : ConstraintCheck [0..*] {subsets ownedPerformances},9.2.3.2.1,SysML2
envelopingShapes,包絡形状,Shapes that are the shape of an Item that includes this Item in space and time.,envelopingShapes : Item [0..*],9.2.3.2.1,SysML2
isSolid,固体である,An Item is solid if it has no voids.,An Item is solid if it has no voids.,9.2.3.2.1,SysML2
shape,形状,Spatial boundary of this Item.,shape : Item {redefines spaceBoundary},9.2.3.2.1,SysML2
subitems,サブアイテム,The Items that are composite subitems of this Item.,subitems : Item [0..*] {subsets suboccurrences},9.2.3.2.1,SysML2
subparts,サブパート,The subitems of this item that are parts.,subparts : Part [0..*] {subsets subitems},9.2.3.2.1,SysML2
voids,空隙,voids are the innerSpaceOccurrences of Item Item.,voids : Item [0..*] {redefines innerSpaceOccurrences},9.2.3.2.1,SysML2
items,アイテム群,items is the base feature of all ItemUsages.,items is the base feature of all ItemUsages.,9.2.3.2.2,SysML2
Touches,接触,Touching Occurrences are JustOutsideOf each other and happen at the same time (HappensWhile).,Touching Occurrences are JustOutsideOf each other and happen at the same time (HappensWhile).,9.2.3.2.3,SysML2
touchedItem,接触アイテム,The participant in this InnerSpaceOf Link that completely occupies the space surrounded by an inner space boundary of the other.,"touchedItem : Item {redefines separateSpace, thatOccurrence}",9.2.3.2.3,SysML2
touchedItemToo,接触アイテム（相手側）,The participant in this InnerSpaceOf Link with an inner space boundary is completely occupied by the other.,"touchedItemToo : Item {redefines thisOccurrence, separateSpaceToo}",9.2.3.2.3,SysML2
touches,接触関係,Owned cross feature for touchedItemToo.,"touches : Item [0..*] {subsets justOutsideOfOccurrences, happensWhile}",9.2.3.2.3,SysML2
Part,パート,Part is the most general class of objects that represent all or a part of a system.,Part is the base type of all PartDefinitions.,9.2.4.2.1,SysML2
exhibitedStates,呈示状態,StateActions that are exhibited by this Part.,exhibitedStates : StateAction [0..*] {subsets performedActions},9.2.4.2.1,SysML2
ownedActions,所有アクション,Actions that are owned by this Part.,ownedActions : Action [0..*] {subsets ownedPerformances},9.2.4.2.1,SysML2
ownedPorts,所有ポート,Ports that are owned by this Part.,ownedPorts : Port [0..*] {subsets timeEnclosedOccurrences},9.2.4.2.1,SysML2
ownedStates,所有状態,StateActions that are owned by this Part.,ownedStates : StateAction [0..*] {subsets ownedActions},9.2.4.2.1,SysML2
performedActions,実行アクション,Actions that are performed by this Part.,performedActions : Action [0..*] {subsets enactedPerformances},9.2.4.2.1,SysML2
parts,パート群,parts is the base feature of all PartUsages.,parts is the base feature of all PartUsages.,9.2.4.2.2,SysML2
Port,ポート,Port is the most general class of objects that represent connection points for interacting with a Part.,Port is the base type of all PortDefinitions.,9.2.5.2.1,SysML2
subports,サブポート,subports : Port [0..*] {subsets timeEnclosedOccurrences},subports : Port [0..*] {subsets timeEnclosedOccurrences},9.2.5.2.1,SysML2
