Term (EN),Equivalent (JA),Definition (EN),Context/Example (EN),Section,File
Analysis Domain Library,解析ドメインライブラリ,The Analysis Domain Library provides library models supporting the modeling of analysis cases (see 7.23 ) and related analysis tasks.,The Analysis Domain Library provides library models supporting the modeling of analysis cases (see 7.23 ) and related analysis tasks.,9.4,SysML2
ToolExecution,ツール実行,ToolExecution metadata identifies an external analysis tool to be used to implement the annotated action.,ToolExecution metadata identifies an external analysis tool to be used to implement the annotated action.,9.4.2.2.1,SysML2
ToolVariable,ツール変数,ToolVariable metadata is used in the context of an action that has been annotated with ToolExecution metadata. It is used to annotate a parameter or other feature of the action with the name of the variable in the tool that is to correspond to the annotated feature.,ToolVariable metadata is used in the context of an action that has been annotated with ToolExecution metadata.,9.4.2.2.2,SysML2
SampledFunction,サンプリング関数,"SampledFunction is a variable-size, ordered collection of SamplePair elements that represents a generic, discretely sampled, uni-variate or multi-variate mathematical function. The function must be montonic, either strictly increasing or strictly decreasing.","A SampledFunction can be used for many engineering purposes. For example, it can represent a time series observation, where the domain consists of time instants expressed on a given timescale and the range consists of observed quantity values.",9.4.3.2.6,SysML2
Domain,ドメイン,Domain returns the sequence of the domainValues of all samples in a SampledFunction.,Domain returns the sequence of the domainValues of all samples in a SampledFunction.,9.4.3.2.1,SysML2
Interpolate,補間,"An Interpolate calculation returns an interpolated range value from a given SampledFunction for a given domain value. If the input domain value is outside the bounds of the domainValues of the SampleFunction, null is returned.",An Interpolate calculation returns an interpolated range value from a given SampledFunction for a given domain value.,9.4.3.2.2,SysML2
interpolateLinear,線形補間,interpolateLinear is an Interpolate calculation assuming a linear functional form between SamplePairs.,interpolateLinear is an Interpolate calculation assuming a linear functional form between SamplePairs.,9.4.3.2.3,SysML2
Range,レンジ,Range returns the sequence of the rangeValues of all samples in a SampledFunction.,Range returns the sequence of the rangeValues of all samples in a SampledFunction.,9.4.3.2.4,SysML2
Sample,サンプル,Sample returns a SampledFunction that samples a given calculation over a sequence of domainValues.,Sample returns a SampledFunction that samples a given calculation over a sequence of domainValues.,9.4.3.2.5,SysML2
SamplePair,サンプルペア,"SamplePair is a key-value pair of a domainValue and a rangeValue, used as a sample element in SampledFunction.","SamplePair is a key-value pair of a domainValue and a rangeValue, used as a sample element in SampledFunction.",9.4.3.2.7,SysML2
State Space Representation (SSR),状態空間表現,"State Space Representation (SSR) is a foundational dynamical systems representation, commonly used in control systems.","State Space Representation (SSR) is a foundational dynamical systems representation, commonly used in control systems.",9.4.4.1,SysML2
TradeStudy,トレードオフ分析,A TradeStudy is an analysis case whose subject is a set of alternatives (at least one) and whose result is a selection of one of those alternatives. The alternatives are evaluated based on a given ObjectiveFunction and the selection is made such that it satisfies the objective of the TradeStudy (which must be a TradeStudyObjective).,A trade-off analysis is a special kind of analysis used to evaluate and compare alternatives. Such an analysis can be modeled by a usage of the TradeStudy analysis case definition from the TradeStudies library model found in the Analysis Domain Library (see 9.4.5 ).,9.4.5.2.4,SysML2
EvaluationFunction,評価関数,"An EvaluationFunction is a calculation that evaluates a TradeStudy alternative, producing a ScalarValue that can be compared with the evaluation of other alternatives.","An EvaluationFunction is a calculation that evaluates a TradeStudy alternative, producing a ScalarValue that can be compared with the evaluation of other alternatives.",9.4.5.2.1,SysML2
MaximizeObjective,最大化目標,A MaximizeObjective is a TradeStudyObjective that requires that the selectedAlternative have the maximum EvaluationFunction value of all the given alternatives.,A MaximizeObjective is a TradeStudyObjective that requires that the selectedAlternative have the maximum EvaluationFunction value of all the given alternatives.,9.4.5.2.2,SysML2
MinimizeObjective,最小化目標,A MinimizeObjective is a TradeStudyObjective that requires that the selectedAlternative have the minimum EvaluationFunction value of all the given alternatives.,A MinimizeObjective is a TradeStudyObjective that requires that the selectedAlternative have the minimum EvaluationFunction value of all the given alternatives.,9.4.5.2.3,SysML2
TradeStudyObjective,トレードオフ分析目標,"A TradeStudyObjective is the base definition for the objective of a TradeStudy. The requirement is to choose from a given set of alternatives the selectedAlternative for that has the best evaluation according to a given EvaluationFunction. What value is considered ""best"" is not defined in the abstract base definition but must be computed in any concrete specialization.",A TradeStudyObjective is the base definition for the objective of a TradeStudy.,9.4.5.2.5,SysML2
Cause and Effect Domain Library,因果関係ドメインライブラリ,The Cause and Effect Domain Library contains a library model of cause and effect relationships and metadata supporting its use.,The Cause and Effect Domain Library contains a library model of cause and effect relationships and metadata supporting its use.,9.5,SysML2
Causation,因果関係,"A Causation is a binary Multicausation in which a single cause occurrence causes a single effect occurrence. (However, a single cause can separately have multiple effects, and a single effect can have separate Causation connections with multiple causes.)",A Causation is a binary Multicausation in which a single cause occurrence causes a single effect occurrence.,9.5.2.2.1,SysML2
causations,因果関係使用,causations is the base feature for Causation ConnectionUsages.,causations is the base feature for Causation ConnectionUsages.,9.5.2.2.2,SysML2
causes,原因,Occurrences that are causes.,The causing Occurrences. (Constant for each Multicausation instance.) Redefines CausationConnections::causes in the context of Multicausation.,9.5.2.2.3,SysML2
effects,結果,Occurrences that are effects.,The effect Occurrences caused by the causing Occurrences. (Constant for each Multicausation instance.) Redefines CausationConnections::effects in the context of Multicausation.,9.5.2.2.4,SysML2
Multicausation,多重因果関係,A Multicausation connection models the situation in which one set of occurrences causes another. All causes must at least exist before all effects.,A Multicausation connection models the situation in which one set of occurrences causes another.,9.5.2.2.5,SysML2
multicausations,多重因果関係使用,multicausations is the base feature for Multicausation ConnectionUsages.,multicausations is the base feature for Multicausation ConnectionUsages.,9.5.2.2.6,SysML2
CausationMetadata,因果関係メタデータ,CausationMetadata allows for the specification of additional metadata about a cause-effect ConnectionDefinition or ConnectionUsage.,CausationMetadata allows for the specification of additional metadata about a cause-effect ConnectionDefinition or ConnectionUsage.,9.5.3.2.1,SysML2
CausationSemanticMetadata,因果関係セマンティックメタデータ,CausationMetadata (short name causation) is SemanticMetadata for a Causation connection.,CausationMetadata (short name causation) is SemanticMetadata for a Causation connection.,9.5.3.2.2,SysML2
CauseMetadata,原因メタデータ,CauseMetadata (short name cause) identifies a Usage as being a cause occurrence. It is intended to be used to tag the cause ends of a Multicausation.,CauseMetadata (short name cause) identifies a Usage as being a cause occurrence.,9.5.3.2.3,SysML2
EffectMetadata,結果メタデータ,EffectMetadata (short name effect) identifies a Usage as being a effect occurrence. It is intended to be used to tag the effect ends of a Multicausation.,EffectMetadata (short name effect) identifies a Usage as being a effect occurrence.,9.5.3.2.4,SysML2
MulticausationSemanticMetadata,多重因果関係セマンティックメタデータ,MulticausationMetadata (short name multicausation) is SemanticMetadata for a Multicausation connection.,MulticausationMetadata (short name multicausation) is SemanticMetadata for a Multicausation connection.,9.5.3.2.5,SysML2
Requirement Derivation Domain Library,要求導出ドメインライブラリ,The Requirement Derivation Domain Library contains a library model of requirement derivation relationships and metadata supporting its use.,The Requirement Derivation Domain Library contains a library model of requirement derivation relationships and metadata supporting its use.,9.6,SysML2
