Term (EN),Equivalent (JP),Definition (EN),Context/Example (EN),Section,File
Model Library,モデルライブラリ,A model library is a collection of library models that can be reused across many user models.,"The SysML model libraries are an integral part of the language. The Systems Model Library (see 9.2 ) is used any time a Definition or Usage element is instantiated in a user model, providing a bridge to the semantic models in the Kernel Model Library [KerML, Clause 8].",9.1,SysML2
Library Model,ライブラリモデル,"Each library model in these standard model libraries consists of a single root namespace with one top-level element that is a standard library package, with no subpackages.","Each library model in these standard model libraries consists of a single root namespace with one top-level element that is a standard library package, with no subpackages.",9.1,SysML2
Systems Model Library,システムモデルライブラリ,"(Implicitly defined as one of the three standard model libraries in KerML, and extended in SysML v2)","The SysML model libraries are an integral part of the language. The Systems Model Library (see 9.2 ) is used any time a Definition or Usage element is instantiated in a user model, providing a bridge to the semantic models in the Kernel Model Library [KerML, Clause 8].",9.1,SysML2
Data Type Library,データ型ライブラリ,(Implicitly defined as one of the three standard model libraries in KerML),"KerML includes three standard model libraries: the Semantic Library (see 9.2 ), the Data Type Library (see 9.3 ), and the Function Library (see 9.4 ).",9.1,KerML1
Function Library,関数ライブラリ,(Implicitly defined as one of the three standard model libraries in KerML),"KerML includes three standard model libraries: the Semantic Library (see 9.2 ), the Data Type Library (see 9.3 ), and the Function Library (see 9.4 ).",9.1,KerML1
Domain Libraries,ドメインライブラリ,"SysML also includes a set of domain libraries, which provide models of fundamental concepts from domains of particular importance in systems engineering.","SysML also includes a set of domain libraries, which provide models of fundamental concepts from domains of particular importance in systems engineering. These models are normative and available for use in all SysML user models.",9.1,SysML2
Metadata Domain Library,メタデータドメインライブラリ,The Metadata Domain Library contains models of attribute definitions for a useful set of standard metadata annotations (see 9.3 ; see also 7.4 on Annotations).,The Metadata Domain Library contains models of attribute definitions for a useful set of standard metadata annotations (see 9.3 ; see also 7.4 on Annotations).,9.1,SysML2
Analysis Domain Library,分析ドメインライブラリ,"The Analysis Domain Library contains models of concepts useful in carrying out analyses of systems. In particular, it includes frameworks for state space representation of systems and for performing trade-off studies (see 9.4 ).","The Analysis Domain Library contains models of concepts useful in carrying out analyses of systems. In particular, it includes frameworks for state space representation of systems and for performing trade-off studies (see 9.4 ).",9.1,SysML2
Cause and Effect Domain Library,因果関係ドメインライブラリ,The Cause and Effect Domain Library contains a language extension for modeling cause and effect relationships (see 9.5 ).,The Cause and Effect Domain Library contains a language extension for modeling cause and effect relationships (see 9.5 ).,9.1,SysML2
Requirement Derivation Domain Library,要求導出ドメインライブラリ,The Requirement Derivation Domain Library contains a language extension for modeling requirement derivation relationships (see 9.6 ).,The Requirement Derivation Domain Library contains a language extension for modeling requirement derivation relationships (see 9.6 ).,9.1,SysML2
Geometry Domain Library,ジオメトリドメインライブラリ,"The Geometry Domain Library contains a model for physical items with spacial extent, including an extensive set of basic geometric shapes that can be used to construct such items (see 9.7 ).","The Geometry Domain Library contains a model for physical items with spacial extent, including an extensive set of basic geometric shapes that can be used to construct such items (see 9.7 ).",9.1,SysML2
Quantities and Units Domain Library,数量・単位ドメインライブラリ,"The Quantities and Units Domain Library contains a comprehensive set of models for scalar, vector and tensor quantities, including quantity value and unit definitions covering the ISO/IEC 80000 and ISO 8601-1 standards (see 9.8 ).","The Quantities and Units Domain Library contains a comprehensive set of models for scalar, vector and tensor quantities, including quantity value and unit definitions covering the ISO/IEC 80000 and ISO 8601-1 standards (see 9.8 ).",9.1,SysML2
Semantic Library,意味論ライブラリ,The Semantic Library is a collection of KerML models that are part of the semantics of the metamodel (see Clause 8 ).,"KerML includes three standard model libraries: the Semantic Library (see 9.2 ), the Data Type Library (see 9.3 ), and the Function Library (see 9.4 ).",9.1,KerML1
