Term (EN),Equivalent (JP),Definition (EN),Context/Example (EN),Section,File
Metadata,メタデータ,"Metadata is additional information on elements of a model that does not have any instance-level semantics (in the sense described in [KerML, 7.3.1 ]).",A metadata usage is a kind of annotating element (see 7.4 ) that allows for the definition of structured metadata with modeler-specified attributes.,7.27.1,SysML2
Metadata usage,メタデータ使用,A metadata usage is a kind of annotating element (see 7.4 ) that allows for the definition of structured metadata with modeler-specified attributes.,A metadata usage is defined by a single metadata definition.,7.27.1,SysML2
Metadata definition,メタデータ定義,A metadata usage is defined by a single metadata definition.,"If the definition has no nested features itself, then the metadata usage simply acts as a user-defined syntactic tag on the annotated element.",7.27.1,SysML2
Syntactic tag,構文タグ,"If the definition has no nested features itself, then the metadata usage simply acts as a user-defined syntactic tag on the annotated element.","If the definition has no nested features itself, then the metadata usage simply acts as a user-defined syntactic tag on the annotated element.",7.27.1,SysML2
Value bindings,値バインディング,"If the definition does have features, then the metadata usage must provide value bindings for all of them, specifying metadata for the annotated element.","If the definition does have features, then the metadata usage must provide value bindings for all of them, specifying metadata for the annotated element.",7.27.1,SysML2
metadata def,メタデータ定義 (キーワード),"A metadata definition is declared like an item definition (see 7.10 ), but using the keyword metadata def.",metadata def SecurityRelated;,7.27.2,SysML2
metadata (keyword),メタデータ (キーワード),"A metadata usage is declared like an item usage (see 7.10 ) using the keyword metadata (or the symbol @) followed by the keyword defined by (or the symbol :) and the qualified name of exactly one metadata definition or KerML Metaclass (see [KerML], 7.4.13).","metadata ApprovalAnnotation about Design { approved = true; approver = ""John Smith""; }",7.27.2,SysML2
Annotated elements,注釈付き要素,"One or more annotated elements can be identified for the metadata usage after the keyword about, indicating that the metadata usage has annotation relationships to each of the identified elements (see also 7.4 on annotation relationships).","metadata securityDesignAnnotation : SecurityRelated about SecurityRequirements, SecurityDesign;",7.27.2,SysML2
Reference usages,参照使用,"If the specified metadata definition (or KerML metaclass) has features, then a body must be given for the metadata usage that declares reference usages (see 7.6 ) that redefine each of the features of the definition and binds them to the result of model-level evaluable expressions (see [KerML, 7.4.9]).","metadata ApprovalAnnotation about Design { ref :>> approved = true; ref :>> approver = ""John Smith""; }",7.27.2,SysML2
Shorthand prefix redefines notation,短縮形プレフィックス再定義記法,"These nested reference usages of a metadata usage must always have the same names as the names of the features of its metadata definition, so the shorthand prefix redefines notation (see 7.6 ) is always used","metadata ApprovalAnnotation about Design { approved = true; approver = ""John Smith""; }",7.27.2,SysML2
SemanticMetadata,意味的メタデータ,"If the metadata definition of a metadata usage is a direct or indirect specialization of KerML metaclass SemanticMetadata from the Metaobjects model in the Kernel Semantic Library (see [KerML, 9.2.16]), then the annotated elements of the metadata usage must all be types (e.g., definitions or usages), and the inherited feature SemanticMetadata::baseType must be bound to a value of type KerML::Type (which is a generalization of SysML::Definition and SysML::Usage).","If the metadata definition of a metadata usage is a direct or indirect specialization of KerML metaclass SemanticMetadata from the Metaobjects model in the Kernel Semantic Library (see [KerML, 9.2.16]), then the annotated elements of the metadata usage must all be types (e.g., definitions or usages), and the inherited feature SemanticMetadata::baseType must be bound to a value of type KerML::Type (which is a generalization of SysML::Definition and SysML::Usage).",7.27.3,SysML2
Implicitly subclassifies,暗黙的にサブクラス化する,"If the annotated type is a definition and the baseType is a definition (or KerML classifier), then the annotated definition implicitly subclassifies the baseType.","If the annotated type is a definition and the baseType is a definition (or KerML classifier), then the annotated definition implicitly subclassifies the baseType.",7.27.3,SysML2
Implicitly subsets,暗黙的にサブセット化する,"If the annotated type is a usage and the baseType is a usage (or KerML feature), then the annotated usage implicitly subsets the baseType.","If the annotated type is a usage and the baseType is a usage (or KerML feature), then the annotated usage implicitly subsets the baseType.",7.27.3,SysML2
User-defined keyword,ユーザー定義キーワード,A user-defined keyword is the (possibly qualified) name (or short name) of a metadata definition (or KerML metaclass) preceded by the symbol #.,#situation def Failure;,7.27.4,SysML2
Metadata annotation,メタデータ注釈,"Such a keyword can be used in package, dependency, definition and usage declarations. The user-defined keyword is placed immediately before the language-defined (reserved) keyword for the declaration and specifies a metadata annotation of the declared element.",#SecurityRelated #situation def Vulnerability;,7.27.4,SysML2
