Term (EN),Equivalent (JA),Definition (EN),Context/Example (EN),Section,File
Concrete Syntax,具象構文,Concrete syntax specifies the how the language appears to modelers. They construct and review models shown according to the concrete syntax.,"The SysML concrete syntax includes both a textual notation, described in 8.2.2 , and a graphical notation, described in 8.2.3 .",8.2.1,SysML2
Textual Notation,テキスト表記,The grammar definition for the SysML textual concrete syntax defines how lexical tokens for an input text are grouped in order to construct an abstract syntax representation of a model (see 8.3 ).,The SysML v2 textual notation (see 8.2.2 ) and the SysML v2 graphical notation (see 8.2.3 ) provide the concrete syntax representation of the SysML v2 abstract syntax (see 8.3 ).,8.2.2.1.1,SysML2
Graphical Notation,グラフィカル表記,A graphical view is rendered as a graph with nodes connected by edges. The nodes and edges may be rendered with specialized syntax in different views.,The SysML v2 textual notation (see 8.2.2 ) and the SysML v2 graphical notation (see 8.2.3 ) provide the concrete syntax representation of the SysML v2 abstract syntax (see 8.3 ).,8.2.3.1,SysML2
EBNF Conventions,EBNF規則,The grammar definition for the SysML textual concrete syntax defines how lexical tokens for an input text are grouped in order to construct an abstract syntax representation of a model (see 8.3 ).,The concrete syntax grammar uses an Extended Backus Naur Form (EBNF) notation (see Table 27 ) that includes further notations to describe how the concrete syntax maps to the abstract syntax (see Table 28 ).,8.2.2.1.1,SysML2
Lexical Structure,字句構造,"The lexical structure of the SysML textual notation is identical to that of the KerML textual notation [KerML], except for the following two points.","The lexical structure of the SysML textual notation is identical to that of the KerML textual notation [KerML], except for the following two points.",8.2.2.1.2,SysML2
Reserved Keywords,予約語,A reserved word is a token that has the lexical structure of a basic name but cannot actually be used as a basic name.,`about abstract accept action actor after alias all allocate allocation analysis and as assert assign assume at attribute bind binding by calc case comment concern connect connection constant constraint crosses decide def default defined dependency derived do doc else end entry enum event exhibit exit expose false filter first flow for fork frame from hastype if implies import in include individual inout interface istype item join language library locale loop merge message meta metadata nonunique not null objective occurrence of or ordered out package parallel part perform port private protected public redefines ref references render rendering rep require requirement return satisfy send snapshot specializes stakeholder standard state subject subsets succession terminate then timeslice to transition true until use variant variation verification verify via view viewpoint when while xor`,8.2.2.1.2,SysML2
Special Lexical Terminals,特殊字句ターミナル,The set of special lexical terminals matching either certain keywords or their symbolic equivalents are the following in SysML.,`DEFINED_BY = ':' | 'defined' 'by' SPECIALIZES = ':>' | 'specializes' SUBSETS = ':>' | 'subsets' REFERENCES = '::>' | 'references' CROSSES = '=>' | 'crosses' REDEFINES = ':>>' | 'redefines'`,8.2.2.1.2,SysML2
Identification,識別,"An element is declared using a keyword indicating the kind of element it is (e.g., part def or attribute). The declaration of an element may also specify a short name and/or name for it, in that order.",`Identification : Element = ( '<' declaredShortName = NAME '>' )? ( declaredName = NAME )?`,8.2.2.2,SysML2
RelationshipBody,関係ボディ,The body of a relationship.,`RelationshipBody : Relationship = ';' | '{' ( ownedRelationship += OwnedAnnotation )* '}'`,8.2.2.2,SysML2
Dependency,依存関係,"A dependency is declared textually using the keyword dependency. The client elements of the dependency are then given as a comma-separated list of qualified names following the keyword from, followed by a similar list of the supplier elements after the keyword to. If no short name or name is given for the dependency, then the keyword from may be omitted.",`Dependency = ( ownedRelationship += PrefixMetadataAnnotation )* 'dependency' DependencyDeclaration RelationshipBody`,8.2.2.3,SysML2
DependencyDeclaration,依存関係宣言,The declaration part of a dependency.,"`DependencyDeclaration = ( Identification 'from' )? client += [QualifiedName] ( ',' client += [QualifiedName] )* 'to' supplier += [QualifiedName] ( ',' supplier += [QualifiedName] )*`",8.2.2.3,SysML2
Annotation,アノテーション,An annotating element is an element that is used to provide additional information about other elements. An annotation is a relationship between an annotating element and an annotated element that is being described.,`Annotation = annotatedElement = [QualifiedName]`,8.2.2.4.1,SysML2
OwnedAnnotation,所有アノテーション,An annotation that is an owned relationship.,`OwnedAnnotation : Annotation = ownedRelatedElement += AnnotatingElement`,8.2.2.4.1,SysML2
AnnotatingElement,アノテーション要素,An annotating element is an element that is used to provide additional information about other elements.,`AnnotatingElement = Comment | Documentation | TextualRepresentation | MetadataFeature`,8.2.2.4.1,SysML2
