Term (EN),Equivalent (JA),Definition (EN),Context/Example (EN),Section,File
Namespace,名前空間,A namespace is a kind of element that can contain other elements and provide names for them.,A namespace is a kind of element that can contain other elements and provide names for them.,7.5.1,SysML2
member elements,メンバー要素,The elements contained in a namespace are referred to as its member elements.,The elements contained in a namespace are referred to as its member elements.,7.5.1,SysML2
Membership,メンバーシップ,Membership is a kind of relationship that relates a namespace to its members.,Membership is a kind of relationship that relates a namespace to its members.,7.5.1,SysML2
alias names,エイリアス名,Alternative names for an element relative to one or more namespaces.,"Instead, an element can be given a name and/or a short name, and it can also have any number of alias names relative to one or more namespaces (see 7.5 ).",7.5.1,SysML2
Import relationship,インポート関係,An import relationship allows one namespace to import memberships from another namespace (see 7.5.3 ).,An import relationship allows one namespace to import memberships from another namespace (see 7.5.3 ).,7.5.1,SysML2
package,パッケージ,A package is a kind of namespace that is used solely as a container for other elements to organize the model.,A package is a kind of namespace that is used solely as a container for other elements to organize the model.,7.5.1,SysML2
filter conditions,フィルター条件,"Boolean-valued, model-level evaluable expressions used to filter the imports for a package.",A package may also contain filter conditions that filter the imports for the package.,7.5.1,SysML2
qualified name,完全修飾名,"An element name qualified by the namespace relative to which the element name is to be resolved, notated by specifying a name to identify the namespace, followed by the symbol ::, followed by the element name.","Therefore, to unambiguously identify an element by name, the element name must be qualified by the namespace relative to which the element name is to be resolved.",7.5.1,SysML2
Name resolution,名前解決,The process of determining the element that is identified by a qualified name.,Name resolution is the process of determining the element that is identified by a qualified name.,7.5.1,SysML2
inherited memberships,継承メンバーシップ,Memberships imported recursively from owned members of an imported namespace that are themselves namespaces.,"An import can also be recursive, which means that, in addition to importing members of the referenced namespace itself, all namespaces that are owned members of the imported package are also recursively imported.",7.5.1,SysML2
owned member,所有メンバー,"An element declared within the body of a namespace, denoting an owning membership relationship between the namespace and the member element.","In general, declaring an element within the body of a namespace denotes that the element is an owned member of the namespace—that is, that there is an owning membership relationship between the namespace and the member element.",7.5.2,SysML2
alias,エイリアス,"A non-owning membership of an element in a namespace, which may or may not be the same namespace that owns the element.","An alias for an element is a non-owning membership of the element in a namespace, which may or may not be the same namespace that owns the element.",7.5.2,SysML2
visibility,可視性,"A property of a membership that can be specified as public, protected, or private, determining whether the element membership is visible outside the namespace or not.","The visibility of the membership can be specified by placing one of the keywords public, protected or private before the public element declaration.",7.5.2,SysML2
import,インポート,"A declaration using the keyword `import` followed by a qualified name, optionally suffixed by ""::*"" and/or ""::**"", to bring memberships from another namespace into the current namespace.","An owned import of a Namespace is denoted using the keyword import followed by a qualified name, optionally suffixed by ""::*"" and/or ""::**"".",7.5.3,SysML2
membership import,メンバーシップインポート,"An import that specifies a single membership to be imported, identified by a qualified name without any suffix.","If the qualified name in an import does not have any suffix, then this specifies a membership import whose imported membership is identified by the qualified name.",7.5.3,SysML2
namespace import,名前空間インポート,"An import that specifies a namespace to be imported, identified by a qualified name suffixed by ""::*"", resulting in all visible memberships of the imported namespace becoming imported memberships.","If the qualified name in an import is further suffixed by ""::*"", then then this specifies a namespace import in which the qualified name identifies the imported namespace.",7.5.3,SysML2
recursive import,再帰的インポート,"An import declaration further suffixed by ""::**"", which is equivalent to importing memberships as described for either an imported membership or namespace, followed by further recursively importing from each imported member that is itself a namespace.","If the declaration of either a membership or namespace import is further suffixed by ""::**"", then the import is recursive.",7.5.3,SysML2
filter import,フィルターインポート,"An import that includes one or more filter conditions in the import declaration, listed after the imported membership or namespace specification, each surrounded by square brackets [... ].","A filter import includes one or more filter conditions in the import declaration, listed after the imported membership or namespace specification, each surrounded by square brackets [... ].",7.5.4,SysML2
root namespace,ルート名前空間,A namespace that has no owner.,A root namespace is a namespace that has no owner.,7.5.5,SysML2
top-level elements,トップレベル要素,The owned members of a root namespace.,The owned members of a root namespace are known as top-level elements.,7.5.5,SysML2
global namespace,グローバル名前空間,"A single namespace within whose scope a root namespace is considered to be, containing all KerML and SysML model libraries and potentially other root namespaces.","While a root namespace has no explicit owner, it is considered to be within the scope of a single global namespace.",7.5.5,SysML2
