Term (EN),Equivalent (JP),Definition (EN),Context/Example (EN),Section,File
Calculation definition,計算定義,A calculation definition is a kind of action definition (see 7.17 ) that has a distinguished parameter with direction out called the result parameter (which is usually the only out parameter). A calculation definition specifies a reusable computation that returns a result in the result parameter.,calc def CalcDef1 { expression1 },7.19.1,SysML2
Calculation usage,計算使用,A calculation usage is an action usage that is a usage of a calculation definition.,calc calc1 : CalcDef1 { expression1 },7.19.1,SysML2
result parameter (of calculation),結果パラメータ（計算の）,A calculation definition is a kind of action definition (see 7.17 ) that has a distinguished parameter with direction out called the result parameter (which is usually the only out parameter). A calculation definition specifies a reusable computation that returns a result in the result parameter.,A calculation definition specifies a reusable computation that returns a result in the result parameter.,7.19.1,SysML2
pure (calculation),純粋な（計算）,"A pure calculation has the following properties: 1. Two invocations of the calculation definition with the same values for the input parameters always produce the same values for the result parameter. 2. The performance of the calculation does not produce any side effects (that is, it does not effect any occurrence that is not a composite part of its performance or that of a subaction or subcalculation).","Calculation definitions are often used to define mathematical functions, in which case the defined computation should be pure.",7.19.1,SysML2
calculation (keyword),calculation (キーワード),"A calculation definition or usage (that is not of a more specialized kind) is declared as an action definition or usage (see 7.17.2 ), but using the kind keyword calc instead of action.",calc def Velocity { in v_i : VelocityValue; in a : AccelerationValue; in dt : TimeValue; return v_f : VelocityValue; },7.19.2,SysML2
result parameter (of calculation definition/usage),結果パラメータ（計算定義/使用の）,"In addition, the result parameter for a calculation definition or usage can be declared as an out parameter using the keyword return instead of out.",return v_f : VelocityValue;,7.19.2,SysML2
result expression (of calculation definition/usage),結果式（計算定義/使用の）,"The body of a calculation definition or usage is like the body of an action definition or usage (see 7.17.2 ), with the optional addition of the declaration of a result expression at the end, using the expression sublanguage from [KerML, 7.4.9].",sum(scores) / size(scores),7.19.2,SysML2
invocation expression,呼び出し式,"The non-leaf nodes of an expression tree are invocation expressions, a kind of expression that specifies its input values as the results of other expressions (its argument expressions), one for each of the input parameters of its invoked function.","IntegerFunctions::'+'(i, j)",7.4.9.1,KerML1
feature reference expression,フィーチャ参照式,Feature reference expressions evaluate to values of a referenced feature that is not part of the expression tree.,sensor::isActive,7.4.9.1,KerML1
literal expression,リテラル式,Literal expressions evaluate to the literal value of one of the primitive data types from the ScalarValues model library (see 9.3.2 ).,0,7.4.9.1,KerML1
null expression,ヌル式,"A null expression is notated by the keyword null. A null expression always evaluates to a result of ""no values"", which is equivalent to the empty sequence ().""",null,7.4.9.1,KerML1
