Term (EN),Equivalent (JP),Definition (EN),Context/Example (EN),Section,File
Occurrence,事象,An occurrence definition is a definition of a class of occurrences that have an extent in time and may have spatial extent.,An occurrence definition is a definition of a class of occurrences that have an extent in time and may have spatial extent.,7.9.1,SysML2
Occurrence Definition,事象定義,An occurrence definition is a definition of a class of occurrences that have an extent in time and may have spatial extent.,An occurrence definition is a definition of a class of occurrences that have an extent in time and may have spatial extent.,7.9.1,SysML2
Occurrence Usage,事象利用,An occurrence usage is a usage of an occurrence definition.,An occurrence usage is a usage of an occurrence definition.,7.9.1,SysML2
lifetime,ライフタイム / 生存期間,"The extent of an occurrence in time is known as its lifetime, which covers the period in time from the occurrence's creation to its destruction.","The extent of an occurrence in time is known as its lifetime, which covers the period in time from the occurrence's creation to its destruction.",7.9.1,SysML2
Time Slices,タイムスライス / 時間区分,"The lifetime of an occurrence can be partitioned into time slices which correspond to some duration of time. These time slices represent periods or phases of a lifetime, such as the deployment or operational phase.",The lifetime of an occurrence can be partitioned into time slices which correspond to some duration of time.,7.9.3,SysML2
snapshot,スナップショット,"A time slice with zero duration is a snapshot. Start, end and intermediate snapshots can be defined for any time slice to represent particular instants of time in an occurrence's lifetime.",A time slice with zero duration is a snapshot.,7.9.3,SysML2
Individuals,個体,"Any kind of occurrence definition can be restricted to define a class that represents an individual, that is, a single real or perceived object with a unique identity.","Any kind of occurrence definition can be restricted to define a class that represents an individual, that is, a single real or perceived object with a unique identity.",7.9.3,SysML2
individual (keyword),個体 (キーワード),"An occurrence definition (of any kind) can be declared as an individual definition using the keyword individual, placed immediately before the kind keyword of the declaration.",individual def Flight_248 :> Flight;,7.9.4,SysML2
Events,イベント事象,An event is a reference from one occurrence to another occurrence that represents some relevant happening during the lifetime of the first occurrence.,An event is a reference from one occurrence to another occurrence that represents some relevant happening during the lifetime of the first occurrence.,7.9.4,SysML2
event occurrence usage,イベント事象利用,"An event occurrence usage is declared like an occurrence usage, as described in 7.9.2, 7.9.3, and 7.9.4, but using the kind keyword event occurrence instead of just occurrence.","An event occurrence usage is declared like an occurrence usage, as described in 7.9.2, 7.9.3, and 7.9.4, but using the kind keyword event occurrence instead of just occurrence.",7.9.5,SysML2
timeslice (keyword),タイムスライス (キーワード),"An occurrence usage (of any kind) can be declared as a time slice or a snapshot using the keyword timeslice or snapshot, respectively, placed immediately before the kind keyword of the declaration (after any of the other usage property keywords described in 7.6.3).",timeslice preflight;,7.9.3,SysML2
snapshot (keyword),スナップショット (キーワード),"An occurrence usage (of any kind) can be declared as a time slice or a snapshot using the keyword timeslice or snapshot, respectively, placed immediately before the kind keyword of the declaration (after any of the other usage property keywords described in 7.6.3).",snapshot part aircraftTakeOff;,7.9.3,SysML2
event occurrence (keyword),イベント事象 (キーワード),"An event occurrence usage may also be declared using just the keyword event instead of event occurrence. In this case, the declaration does not include either a name or a short name.",event subscriptionMessage.source[1];,7.9.5,SysML2
