Term (EN),Equivalent (JA),Definition (EN),Context/Example (EN),Section,File
Abstract Syntax,抽象構文,The abstract syntax is the common underlying syntactic representation for SysML models.,The SysML textual or graphical notations (see 8.2 ) provide for concrete presentation of models in the abstract syntax presentation.,8.3.1,SysML2
Element,要素,"An Element is a constituent of a model that is uniquely identified relative to all other Elements. It can have Relationships with other Elements. Some of these Relationships might imply ownership of other Elements, which means that if an Element is deleted from a model, then so are all the Elements that it owns.",An Element is a constituent of a model that is uniquely identified relative to all other Elements.,8.3.2.1.2,SysML2
Relationship,関係,"A Relationship is an Element that relates other Element. Some of its relatedElements may be owned, in which case those ownedRelatedElements will be deleted from a model if their owningRelationship is. A Relationship may also be owned by another Element, in which case the ownedRelatedElements of the Relationship are also considered to be transitively owned by the owningRelatedElement of the Relationship.",A Relationship is an Element that relates other Element.,8.3.2.1.3,SysML2
Dependency,依存関係,"A Dependency is a Relationship that indicates that one or more client Elements require one more supplier Elements for their complete specification. In general, this means that a change to one of the supplier Elements may necessitate a change to, or re-specification of, the client Elements.",A Dependency is a Relationship that indicates that one or more client Elements require one more supplier Elements for their complete specification.,8.3.3.2,SysML2
AnnotatingElement,注釈要素,"An AnnotatingElement is an Element that provides additional description of or metadata on some other Element. An AnnotatingElement is either attached to its annotatedElements by Annotation Relationships, or it implicitly annotates its owningNamespace.",An AnnotatingElement is an Element that provides additional description of or metadata on some other Element.,8.3.4.2,SysML2
Annotation,注釈,An Annotation is a Relationship between an AnnotatingElement and the Element that is annotated by that AnnotatingElement.,An Annotation is a Relationship between an AnnotatingElement and the Element that is annotated by that AnnotatingElement.,8.3.4.3,SysML2
Comment,コメント,A Comment is an AnnotatingElement whose body in some way describes its annotatedElements.,A Comment is an AnnotatingElement whose body in some way describes its annotatedElements.,8.3.4.4,SysML2
Documentation,ドキュメンテーション,"Documentation is a Comment that specifically documents a documentedElement, which must be its owner.","Documentation is a Comment that specifically documents a documentedElement, which must be its owner.",8.3.4.5,SysML2
TextualRepresentation,テキスト表現,A TextualRepresentation is an AnnotatingElement whose body represents the representedElement in a given language. The representedElement must be the owner of the TextualRepresentation.,A TextualRepresentation is an AnnotatingElement whose body represents the representedElement in a given language.,8.3.4.6,SysML2
Namespace,名前空間,"A Namespace is an Element that contains other Elements, known as its members, via Membership Relationships with those Elements. The members of a Namespace may be owned by the Namespace, aliased in the Namespace, or imported into the Namespace via Import Relationships.","A Namespace is an Element that contains other Elements, known as its members, via Membership Relationships with those Elements.",8.3.5.2,SysML2
Membership,メンバーシップ,"A Membership is a Relationship between a Namespace and an Element that indicates the Element is a member of (i.e., is contained in) the Namespace. Any memberNames specify how the memberElement is identified in the Namespace and the visibility specifies whether or not the memberElement is publicly visible from outside the Namespace.","A Membership is a Relationship between a Namespace and an Element that indicates the Element is a member of (i.e., is contained in) the Namespace.",8.3.5.3,SysML2
MembershipImport,メンバーシップインポート,"A MembershipImport is an Import that imports its importedMembership into the importOwningNamespace. If isRecursive = true and the memberElement of the importedMembership is a Namespace, then the equivalent of a recursive NamespaceImport is also performed on that Namespace.",A MembershipImport is an Import that imports its importedMembership into the importOwningNamespace.,8.3.5.4,SysML2
NamespaceImport,名前空間インポート,"A NamespaceImport is an Import that imports Memberships from its importedNamespace into the importOwningNamespace. If isRecursive = false, then only the visible Memberships of the importedNamespace are imported. If isRecursive = true, then, in addition, Memberships are recursively imported from any ownedMembers of the importedNamespace that are Namespaces.",A NamespaceImport is an Import that imports Memberships from its importedNamespace into the importOwningNamespace.,8.3.5.5,SysML2
OwningMembership,所有メンバーシップ,An OwningMembership is a Membership that owns its memberElement as a ownedRelatedElement. The ownedMemberElement becomes an ownedMember of the membershipOwningNamespace.,An OwningMembership is a Membership that owns its memberElement as a ownedRelatedElement.,8.3.5.6,SysML2
Package,パッケージ,"A Package is a Namespace used to group Elements, without any instance-level semantics. It may have one or more model-level evaluable filterCondition Expressions used to filter its importedMemberships. Any imported member must meet all of the filterConditions.","A Package is a Namespace used to group Elements, without any instance-level semantics.",8.3.5.7,SysML2
LibraryPackage,ライブラリパッケージ,A LibraryPackage is a Package that is the container for a model library. A LibraryPackage is itself a library Element as are all Elements that are directly or indirectly contained in it.,A LibraryPackage is a Package that is the container for a model library.,8.3.5.8,SysML2
ElementFilterMembership,要素フィルタメンバーシップ,"ElementFilterMembership is a Membership between a Namespace and a model-level evaluable Boolean-valued Expression, asserting that imported members of the Namespace should be filtered using the condition Expression. A general Namespace does not define any specific filtering behavior, but such behavior may be defined for various specialized kinds of Namespaces.","ElementFilterMembership is a Membership between a Namespace and a model-level evaluable Boolean-valued Expression, asserting that imported members of the Namespace should be filtered using the condition Expression.",8.3.5.9,SysML2
AliasMember,エイリアスメンバー,An AliasMember is a Membership that introduces an alias name for an Element in a Namespace.,An AliasMember is a Membership that introduces an alias name for an Element in a Namespace.,8.3.5.10,SysML2
Import,インポート,"An Import is an Relationship between its importOwningNamespace and either a Membership (for a MembershipImport) or another Namespace (for a NamespaceImport), which determines a set of Memberships that become importedMemberships of the importOwningNamespace.","An Import is an Relationship between its importOwningNamespace and either a Membership (for a MembershipImport) or another Namespace (for a NamespaceImport), which determines a set of Memberships that become importedMemberships of the importOwningNamespace.",8.3.5.11,SysML2
VisibilityKind,可視性種別,VisibilityKind is an enumeration whose literals specify the visibility of a Membership of an Element in a Namespace outside of that Namespace.,VisibilityKind is an enumeration whose literals specify the visibility of a Membership of an Element in a Namespace outside of that Namespace.,8.3.5.12,SysML2
Definition,定義,A Definition is a Classifier of Usages. The actual kinds of Definition that may appear in a model are given by the subclasses of Definition (possibly as extended with user-defined SemanticMetadata).,A Definition is a Classifier of Usages.,8.3.6.2,SysML2
ReferenceUsage,参照使用,"A ReferenceUsage is a Usage that specifies a non-compositional (isComposite = false) reference to something. The definition of a ReferenceUsage can be any kind of Classifier, with the default being the top-level Classifier Base::Anything from the Kernel Semantic Library.",A ReferenceUsage is a Usage that specifies a non-compositional (isComposite = false) reference to something.,8.3.6.3,SysML2
Usage,使用,A Usage is a usage of a Definition.,A Usage is a usage of a Definition.,8.3.6.4,SysML2
VariantMembership,バリアントメンバーシップ,A VariantMembership is a Membership between a variation point Definition or Usage and a Usage that represents a variant in the context of that variation. The membershipOwningNamespace for the VariantMembership must be either a Definition or a Usage with isVariation = true.,A VariantMembership is a Membership between a variation point Definition or Usage and a Usage that represents a variant in the context of that variation.,8.3.6.5,SysML2
AttributeDefinition,属性定義,An AttributeDefinition is a Definition and a DataType of information about a quality or characteristic of a system or part of a system that has no independent identity other than its value. All features of an AttributeDefinition must be referential (non-composite).,An AttributeDefinition is a Definition and a DataType of information about a quality or characteristic of a system or part of a system that has no independent identity other than its value.,8.3.7.2,SysML2
AttributeUsage,属性使用,"An AttributeUsage is a Usage whose type is a DataType. Nominally, if the type is an AttributeDefinition, an AttributeUsage is a usage of a AttributeDefinition to represent the value of some system quality or characteristic. However, other kinds of kernel DataTypes are also allowed, to permit use of DataTypes from the Kernel Model Libraries. An AttributeUsage itself as well as all its nested features must be referential (non-composite).",An AttributeUsage is a Usage whose type is a DataType.,8.3.7.3,SysML2
EnumerationDefinition,列挙定義,"An EnumerationDefinition is an AttributeDefinition all of whose instances are given by an explicit list of enumeratedValues. This is realized by requiring that the EnumerationDefinition have isVariation = true, with the enumeratedValues being its variants.",An EnumerationDefinition is an AttributeDefinition all of whose instances are given by an explicit list of enumeratedValues.,8.3.8.2,SysML2
EnumerationUsage,列挙使用,An EnumerationUsage is an AttributeUsage whose attributeDefinition is an EnumerationDefinition.,An EnumerationUsage is an AttributeUsage whose attributeDefinition is an EnumerationDefinition.,8.3.8.3|
