Term (EN),Equivalent (JA),Definition (EN),Context/Example (EN),Section,File
Part,パート,"A modular unit of structure such as a system, system component, or external entity that may directly or indirectly interact with the system.","A system is modeled as a composite part, and its part usages may themselves have further composite structure.",7.11.1,SysML2
Part Definition,パート定義,"A part definition represents a modular unit of structure such as a system, system component, or external entity that may directly or indirectly interact with the system. A part definition is a kind of item definition (see 7.10 ) and, as such, defines a class of part objects that are occurrences with temporal (and possibly spatial) extent.",part def PartDef1;,7.11.1,SysML2
Part Usage,パート使用,"A part usage is a kind of item usage that is a usage of one or more part definitions, but may also be a usage of item definitions that are not part definitions.",part part1 : PartDef1;,7.11.1,SysML2
System,システム,"A system is modeled as a composite part, and its part usages may themselves have further composite structure.","A system is modeled as a composite part, and its part usages may themselves have further composite structure.",7.11.1,SysML2
System Component,システム構成要素,"A part can represent any level of abstraction, such as a purely logical component without implementation constraints, or a physical component with a part number, or some intermediate abstraction. Parts can also be used to represent different kinds of system components such as hardware components, software components, facilities, organizations, or users of a system.","A part can represent any level of abstraction, such as a purely logical component without implementation constraints, or a physical component with a part number, or some intermediate abstraction.",7.11.1,SysML2
Port,ポート,The parts of a system may have ports (see 7.12 ) that define the points at which those parts may be interconnected (see 7.13 and 7.14 ).,The parts may have ports (see 7.12 ) that define the points at which those parts may be interconnected (see 7.13 and 7.14 ).,7.11.1,SysML2
Action,アクション,"Parts may also perform actions (see 7.17 ) resulting in items flowing across the connections between them, and exhibit states (see 7.18 ) that enable different actions.","Parts may also perform actions (see 7.17 ) resulting in items flowing across the connections between them, and exhibit states (see 7.18 ) that enable different actions.",7.11.1,SysML2
State,状態,"Parts may also perform actions (see 7.17 ) resulting in items flowing across the connections between them, and exhibit states (see 7.18 ) that enable different actions.","Parts may also perform actions (see 7.17 ) resulting in items flowing across the connections between them, and exhibit states (see 7.18 ) that enable different actions.",7.11.1,SysML2
Item Usage (Part context),アイテム使用（パート文脈）,"A part usage is a kind of item usage that is a usage of one or more part definitions, but may also be a usage of item definitions that are not part definitions.","This allows a part to be treated like an item in some cases (e.g., when an engine under assembly flows through an assembly line) and as a part in other cases (e.g., when an assembled engine is installed in a vehicle).",7.11.1,SysML2
part,パート,"A part definition or usage (that is not of a more specialized kind) is declared as a kind of occurrence definition or usage (see 7.9.2 ), using the kind keyword part.",part def Person;,7.11.2,SysML2
