Term (EN),Equivalent (JA),Definition (EN),Context/Example (EN),Section,File
Semantics,意味論,The semantics of KerML specify how a KerML model is to be interpreted.,"The semantics of KerML specify how a KerML model is to be interpreted. The semantics are defined in terms of the abstract syntax representation of the model, and only for models which are valid relative to the structure and constraints specified for the KerML abstract syntax (see 8.3).",8.4.1,SysML2
Semantic constraints,意味論的制約,"These constraints specify relationships that are semantically required in a SysML model (see 8.4.1 ), particularly relationships with elements in the Kernel Semantic Library (see 9.2 ).","These constraints may be violated by a model as entered by a user or as interchanged. In this case, a tool may satisfy the constraints by introducing implied relationships into the model, it may simply report their violation, or it may ignore the violations.",8.4.1,SysML2
Implied Relationships,暗黙の関係性,A tool may insert certain implied Relationships into the model in order to meet the semantic constraints.,"For specialization constraints applying to Definitions, the implied Relationship is a Subclassification, as given in Table 31.",8.4.1,SysML2
Specialization constraints,特殊化制約,These constraints require that Definition or Usage elements of a certain kind directly or indirectly specialize some specific base Definition or Usage from the Kernel Semantic Library or the Systems Model Library.,"Specialization constraints always have the word Specialization in their name. For example, checkPartDefinitionSpecialization requires that a PartDefinition directly or indirectly specialize the PartDefinition Parts::Part from the Systems Model Library.",8.4.1,SysML2
Redefinition constraints,再定義制約,These constraints require that certain Usages in a model have Redefinition relationships with certain other Usages (or KerML Features) in the model.,"Redefinition constraints always have the word Redefinition in their name. For example, checkRenderingUsageRedefinition requires a Redefinition on a RenderingUsage used to specify a viewRendering.",8.4.1,SysML2
Type-featuring constraints,型フィーチャリング制約,These constraints require that certain Usages in a model have TypeFeaturing relationships with certain other Definitions or Usages in the model.,"The SysML specification includes only one constraint in this category, checkVariationUsageTypeFeaturing, which applies to a variant Usage in a variation model.",8.4.1,SysML2
Binding-connector constraints,バインディングコネクタ制約,These constraints require that BindingConnectors exist between certain Features in a model.,"For a SysML model, it is allowable for binding-connector constraints to be satisfied by SysML BindingConnectorAsUsages, rather than plain KerML BindingConnectors.",8.4.1,SysML2
Definition (semantics),定義 (意味論),"A SysML Definition has the semantics of a KerML Classifier (see [KerML, 8.4.3.3]).","However, a Definition element is always either instantiated as one of its more specific subclasses (e.g., AttributeDefinition, ItemDefinition, etc.), or with at least one semantic metadata annotation.",8.4.2.1,SysML2
Usage (semantics),使用 (意味論),"A SysML Usage has the semantics of a KerML Feature (see [KerML, 8.4.3.4]).","However, a Usage element is always either instantiated as one of its more specific subclasses (e.g., AttributeUsage, ItemUsage, etc.), or with at least one semantic metadata annotation.",8.4.2.2,SysML2
Variation Definition (semantics),バリエーション定義 (意味論),A Definition or Usage with isVariation = true has additional semantic restrictions.,"Thus, a variation Definition of the form variation part def P { variant part p1; variant part p2; ... } has, with implied Relationships included, the equivalent kernel semantics of // KerML class P specializes Parts::Part { member feature p1 : P subsets Parts::parts; member feature p2 : P subsets Parts::parts; ... }",8.4.2.3,SysML2
Variant Usage (semantics),バリアント使用 (意味論),All the ownedMembers of the Definition or Usage be variant Usages.,"Similarly, a Usage of the form variation part p { variant part p1; variant part p2; ... } has, with implied Relationships included, the equivalent kernel semantics of // KerML feature p subsets Parts::parts { member feature p1 subsets p; member feature p2 subsets p; ... }",8.4.2.3,SysML2
Attribute Definition (semantics),属性定義 (意味論),An AttributeDefinition is a kind of Definition and a kind of KerML DataType.,"The base AttributeDefinition Attributes::AttributeValue (see 9.2.2.2.1 ) is just an alias for the KerML DataType Base::DataValue (see [KerML, 9.2.2]).",8.4.3.1,SysML2
Attribute Usage (semantics),属性使用 (意味論),An AttributeUsage is a kind of Usage that is syntactically required to be defined only by DataTypes (including AttributeDefinitions).,"The base AttributeUsage Attributes::attributeValues (see 9.2.2.2.2 ) is an alias for the KerML Feature Base::dataValues (see [KerML, 9.2.2]).",8.4.3.2,SysML2
Enumeration Definition (semantics),列挙定義 (意味論),An EnumerationDefinition is a kind of AttributeDefinition all of whose instances are limited to specific set of enumerated values.,"However, an EnumerationDefinition is also required to have isVariation = true, and its enumeratedValues are then just its variants (see 8.4.2.3 on the semantics of variation Definitions).",8.4.4,SysML2
Occurrence Definition (semantics),オカレンス定義 (意味論),An OccurrenceDefinition is a kind of Definition and a kind of KerML Class.,"The kernel checkClassSpecialization constraint requires that it specialize the base Class Occurrences::Occurrence from the Kernel Semantic Library (see [KerML, 9.2.4]).",8.4.5.1,SysML2
Occurrence Usage (semantics),オカレンス使用 (意味論),An OccurrenceUsage is a kind of Usage that is syntactically required to be defined only by Classes (including OccurrenceDefinitions).,"checkOccurrenceUsageSpecialization requires that it specialize the Feature Occurrences::occurrences from the Kernel Model Library (see [KerML, 9.2.4]), which is typed by Occurrences::Occurrence.",8.4.5.2,SysML2
Event Occurrence Usage (semantics),イベントオカレンス使用 (意味論),An EventOccurrenceUsage is a kind of OccurrenceUsage that is required to always be referential by the validateEventOccurrenceUsageIsReference.,"In addition, if an EventOccurrenceUsage is an ownedFeature of an OccurrenceDefinition or OccurrenceUsage, then the checkEventOccurrenceUsageSpecialization constraint requires that it specialize the kernel Feature Occurrences::Occurrence::timeEnclosedOccurrences (see [KerML, 9.2.4]).",8.4.5.3,SysML2
Item Definition (semantics),アイテム定義 (意味論),An ItemDefinition is a kind of OccurrenceDefinition and a kind of KerML Structure.,"The checkItemDefinitionSpecialization constraint requires that an ItemDefinition specialize the base ItemDefinition Items::Item (see 9.2.3.2.1 ), which subclassifies the kernel Class Objects::Object (see [KerML, 9.2.5]).",8.4.6.1,SysML2
Item Usage (semantics),アイテム使用 (意味論),An ItemUsage is a kind of OccurrenceUsage.,"checkItemUsageSpecialization requires that an ItemUsage specialize the base ItemUsage Items::items (see 9.2.3.2.2 ), which subsets the Kernel Feature Objects::objects (see [KerML, 9.2.5]).",8.4.6.2,SysML2
Part Definition (semantics),部品定義 (意味論),A PartDefinition is a kind of ItemDefinition.,"The checkPartDefinitionSpecialization constraint requires that a PartDefinition specialize the base PartDefinition Parts::Part (see 9.2.4.2.1 ), which subclassifies Items::Item (see 9.2.3.2.1 ).",8.4.7.1,SysML2
Part Usage (semantics),部品使用 (意味論),A PartUsage is a kind of ItemUsage.,checkPartUsageSpecialization requires that a PartUsage specialize the base PartUsage Parts::parts (see 9.2.4.2.2 ).,8.4.7.2,SysML2
Port Definition (semantics),ポート定義 (意味論),A PortDefinition is a kind of OccurrenceDefinition and a kind of KerML Structure.,"The checkPortDefinitionSpecialization constraint requires that a PortDefinition specialize the base PortDefinition Ports::Port (see 9.2.5.2.1 ), which subclassifies the kernel Class Objects::Object (see [KerML, 9.2.5]).",8.4.8.1,SysML2
Port Usage (semantics),ポート使用 (意味論),A PortUsage is a kind of OccurrenceUsage that is syntactically restricted to be defined only by PortDefinitions.,"checkPortUsageSpecialization requires that a PortUsage specialize the base PortUsage Ports::ports (see 9.2.5.2.2 ), which subsets the kernel Feature Objects::objects (see [KerML, 9.2.5]).",8.4.8.2,SysML2
Connection Definition (semantics),接続定義 (意味論),A ConnectionDefinition is a kind of PartDefinition and a kind of KerML AssociationStructure.,"The checkConnectionDefinitionSpecialization constraint requires that a ConnectionDefinition specialize the base ConnectionDefinition Connections::Connection (see 9.2.6.2.3 ), which subclassifies the PartDefinition Parts::Part (see 9.2.4.2.1 ) and the kernel AssociationStructure Objects::LinkObject (see [KerML, 9.2.5]).",8.4.9.1,SysML2
Connection Usage (semantics),接続使用 (意味論),"A ConnectionUsage is a PartUsage and a ConnectorAsUsage, which is a kind of KerML Connector.","The checkConnectionUsageSpecialization constraint requires that a ConnectionUsage specialize the base ConnectionUsage Connections::connections (see 9.2.6.2.4 ), which is defined by Connections::Connection and subsets the PartUsage Parts::parts (see 9.2.4.2.2 ) and the kernel Feature Objects::linkObjects (see [KerML, 9.2.5]).",8.4.9.2,SysML2
BindingConnectorAsUsage (semantics),バインディングコネクタ使用 (意味論),A BindingConnectorAsUsage is a kind of ConnectorAsUsage and a kind of KerML BindingConnector.,"The checkBindingConnectorSpecialization constraint requires that BindingConnectorAsUsages specialize the kernel Feature Links:selfLink, which is typed by the Association SelfLink (see [KerML, 9.2.3]).",8.4.9.3,SysML2
SuccessionAsUsage (semantics),継承使用 (意味論),A SuccessionAsUsage is a kind of FlowUsage and a kind of KerML Succession.,"The checkSuccessionSpecialization constraint requires that a SuccessionAsUsage specialize the KerML Feature Occurrences::happensBeforeLinks (see [KerML, 9.2.4]), which is typed by the Association HappensBefore.",8.4.9.4,SysML2
