Term (EN),Equivalent (JP),Definition (EN),Context/Example (EN),Section,File
Derivation,派生,"A Derivation connection asserts that one or more derivedRequirements are derived from a single originalRequirement. This means that any subject that satisfies the originalRequirement should, in itself or though other things related to it, satisfy each of the derivedRequirements.","A ConnectionUsage typed by Derivation must have RequirementUsages for all its ends. The single end for the original requirement should subset originalRequirement, while the rest of the ends should subset derivedRequirements.",9.6.2.1,SysML2
derivedRequirements (feature of Derivation),派生要求,The one or more requirements that are derived from the original requirement.,derivedRequirements : RequirementCheck [1..*] {subsets participant} Redefines DerivationConnections::derivedRequirements in the context of Derivation.,9.6.2.1,SysML2
originalRequirement (feature of Derivation),元要求,The single original requirement.,originalRequirement : RequirementCheck {subsets participant} Redefines DerivationConnections::originalRequirement in the context of Derivation.,9.6.2.1,SysML2
originalImpliesDerived (constraint of Derivation),元要求が派生を意味する,"Whenever the originalRequirement is satisfied, all of the derivedRequirements must also be satisfied.",originalRequirement.result implies allTrue(derivedRequirements.result),9.6.2.1,SysML2
originalNotDerived (constraint of Derivation),元要求は派生ではない,The original requirement must not be a derived requirement.,derivedRequirements->excludes(originalRequirement),9.6.2.1,SysML2
derivations,派生関係 (Usage),derivations is the base feature for Derivation ConnectionUsages.,derivations is the base feature for Derivation ConnectionUsages.,9.6.2.2,SysML2
derivedRequirements (Usage),派生要求 (Usage),derivedRequirements are the derived requirements in Derivation connections.,derivedRequirements are the derived requirements in Derivation connections.,9.6.2.3,SysML2
originalRequirements (Usage),元要求 (Usage),originalRequirements are the original requirements in Derivation connections.,originalRequirements are the original requirements in Derivation connections.,9.6.2.4,SysML2
DerivationMetadata,派生メタデータ,DerivationMetadata (short name derivation) is SemanticMetadata for a Derivation connection.,DerivationMetadata (short name derivation) is SemanticMetadata for a Derivation connection.,9.6.3.2.1,SysML2
DerivedRequirementMetadata,派生要求メタデータ,DerivedlRequirementMetadata (short name derive) identifies a Usage as a derived requirement. It is intended to be used to tag the derived requirement ends of a Derivation.,DerivedlRequirementMetadata (short name derive) identifies a Usage as a derived requirement. It is intended to be used to tag the derived requirement ends of a Derivation.,9.6.3.2.2,SysML2
OriginalRequirementMetadata,元要求メタデータ,OriginalRequirementMetadata (short name original) identifies a Usage as an original requirement. It is intended to be used to tag the original requirement end of a Derivation.,OriginalRequirementMetadata (short name original) identifies a Usage as an original requirement. It is intended to be used to tag the original requirement end of a Derivation.,9.6.3.2.3,SysML2
