Term (EN),Equivalent (JA),Definition (EN),Context/Example (EN),Section,File
Quantities and Units Domain Library,量と単位ドメインライブラリ,"The Quantities and Units Domain Library defines reusable and extensible model elements for physical quantities, including vector and tensor quantities, quantity dimensions, measurement units, measurement scales, coordinate frames, coordinate transformations and vector spaces. The library also enables the specification of coherent systems of quantities and systems of units, as well as the operators and functions needed to support quantity arithmetic in expressions.","The Quantities and Units Domain Library defines reusable and extensible model elements for physical quantities, including vector and tensor quantities, quantity dimensions, measurement units, measurement scales, coordinate frames, coordinate transformations and vector spaces.",9.8.1,SysML2
ISQ (International System of Quantities),ISQ (国際量体系),The ISQ package specifies a complete set of predefined quantity types for the International System of Quantities (ISQ).,The ISQ package specifies a complete set of predefined quantity types for the International System of Quantities (ISQ).,9.8.4.1,SysML2
SI (International System of Units),SI (国際単位系),"This package specifies the measurement units as defined in ISO/IEC 80000 parts 3 to 13, the International System of (Measurement) Units -- Système International d'Unités (SI).","This package specifies the measurement units as defined in ISO/IEC 80000 parts 3 to 13, the International System of (Measurement) Units -- Système International d'Unités (SI).",9.8.6.1,SysML2
US Customary Units,米国慣用単位,"This package specifies all US Customary measurement units, with conversion factors to compatible SI units, as defined in Appendix B ""Conversion Factors"" of [NIST SP-811].","This package specifies all US Customary measurement units, with conversion factors to compatible SI units, as defined in Appendix B ""Conversion Factors"" of [NIST SP-811].",9.8.7.1,SysML2
TensorQuantityValue,テンソル量値,A TensorQuantityValue is an abstract AttributeDefinition and a specialization of Collections::Array that represents a tensor quantity value as a sequence of Numbers and a TensorMeasurementReference.,A TensorQuantityValue is an abstract AttributeDefinition and a specialization of Collections::Array that represents a tensor quantity value as a sequence of Numbers and a TensorMeasurementReference.,9.8.2.2.8,SysML2
VectorQuantityValue,ベクトル量値,A VectorQuantityValue is an AttributeDefinition that represents the value of a vector quantity by a tuple of Numbers and a VectorMeasurementReference. It is a specialization of TensorQuantityValue and has order one.,A VectorQuantityValue is an AttributeDefinition that represents the value of a vector quantity by a tuple of Numbers and a VectorMeasurementReference. It is a specialization of TensorQuantityValue and has order one.,9.8.2.2.10,SysML2
ScalarQuantityValue,スカラー量値,A ScalarQuantityValue is an abstract AttributeDefinition that specializes VectorQuantityValue. It represents a scalar quantity value as a tuple of a Number num and a ScalarMeasurementReference mRef. By definition it has order zero.,A ScalarQuantityValue is an abstract AttributeDefinition that specializes VectorQuantityValue.,9.8.2.2.5,SysML2
QuantityDimension,量次元,"A QuantityDimension is the product of powers of the set of base quantities defined for a particular system of quantities, units and scales.","A QuantityDimension is the product of powers of the set of base quantities defined for a particular system of quantities, units and scales.",9.8.2.2.2,SysML2
QuantityPowerFactor,量べき乗因数,"A QuantityPowerFactor is a representation of a quantity power factor, being the combination of a quantity and an exponent.","A QuantityPowerFactor is a representation of a quantity power factor, being the combination of a quantity and an exponent.",9.8.2.2.3,SysML2
SystemOfQuantities,量体系,"A SystemOfQuantities represents the essentials of [VIM] concept system of quantities (https://jcgm.bipm.org/vim/en/1.3.html), defined as a set of quantities together with a set of noncontradictory equations relating those quantities.","A SystemOfQuantities represents the essentials of [VIM] concept system of quantities (https://jcgm.bipm.org/vim/en/1.3.html), defined as a set of quantities together with a set of noncontradictory equations relating those quantities.",9.8.2.2.6,SysML2
Measurement References,測定参照,"This package defines the general AttributeDefinitions and AttributeUsages to construct measurement references. This includes: measurement units, ordinal, logarithmic and cyclic measurement scales, unit conversions, coordinate frames and coordinate transformations, measurement unit prefixes to denote multiples (such as mega) and sub-multiples (such as nano).",This package defines the general AttributeDefinitions and AttributeUsages to construct measurement references.,9.8.3.1,SysML2
3dCoordinateFrame,3次元座標系,A 3dCoordinateFrame is a CoordinateFrame that has dimensions.,A 3dCoordinateFrame is a CoordinateFrame that has dimensions.,9.8.3.2.1,SysML2
AffineTransformationMatrix3d,3次元アフィン変換行列,AffineTransformationMatrix3d is a three dimensional CoordinateTransformation specified via an affine 4x4 transformation matrix,AffineTransformationMatrix3d is a three dimensional CoordinateTransformation specified via an affine 4x4 transformation matrix,9.8.3.2.2,SysML2
ConversionByConvention,慣例による変換,ConversionByConvention is a UnitConversion that is defined according to some convention.,ConversionByConvention is a UnitConversion that is defined according to some convention.,9.8.3.2.3,SysML2
ConversionByPrefix,接頭辞による変換,"ConversionByPrefix is a UnitConversion that is defined through reference to a named [ISO/IEC 80000-1] UnitPrefix, which represents a conversion factor that is a decimal or binary multiple or sub-multiple.","ConversionByPrefix is a UnitConversion that is defined through reference to a named [ISO/IEC 80000-1] UnitPrefix, which represents a conversion factor that is a decimal or binary multiple or sub-multiple.",9.8.3.2.4,SysML2
CoordinateFrame,座標系,"A CoordinateFrame is a VectorMeasurementReference with the specific purpose to quantify (i.e., coordinatize) a vector space, and optionally locate and orient it with respect to another CoordinateFrame.","A CoordinateFrame is a VectorMeasurementReference with the specific purpose to quantify (i.e., coordinatize) a vector space, and optionally locate and orient it with respect to another CoordinateFrame.",9.8.3.2.5,SysML2
CoordinateFramePlacement,座標系配置,CoordinateFramePlacement is a CoordinateTransformation by placement of the target frame in the source frame.,CoordinateFramePlacement is a CoordinateTransformation by placement of the target frame in the source frame.,9.8.3.2.6,SysML2
CoordinateTransformation,座標変換,"A CoordinateTransformation is an AttributeDefinition that defines the transformation relationship between two coordinate systems, that are represented by VectorMeasurementReferences, typically CoordinateFrames.","A CoordinateTransformation is an AttributeDefinition that defines the transformation relationship between two coordinate systems, that are represented by VectorMeasurementReferences, typically CoordinateFrames.",9.8.3.2.7,SysML2
CountValue,カウント値,CountValue is an explicit definition of a generic count quantity as a DimensionOneValue.,CountValue is an explicit definition of a generic count quantity as a DimensionOneValue.,9.8.3.2.9,SysML2
CyclicRatioScale,周期的比率尺度,CyclicRationScale is a MeasurementScale that represents a ratio scale with a periodic cycle.,CyclicRationScale is a MeasurementScale that represents a ratio scale with a periodic cycle.,9.8.3.2.10,SysML2
DefinitionalQuantityValue,定義量値,A DefinitionalQuantityValue is a representation of a particular quantity value that is used in the definition of a MeasurementReference. Typically such a particular value is defined by convention.,A DefinitionalQuantityValue is a representation of a particular quantity value that is used in the definition of a MeasurementReference.,9.8.3.2.11,SysML2
