Term (EN),Equivalent (JP),Definition (EN),Context/Example (EN),Section,File
Interface,インターフェース,An interface definition is a kind of connection definition (see 7.13 ) whose ends are restricted to be port definitions (see 7.12 ). An interface usage is a kind of connection that is usage of an interface definition. The ends of an interface usage are restricted to be port usages.,An interface is simply a connection all of whose ends are ports.,7.14.1,SysML2
Interface Definition,インターフェース定義,An interface definition is a kind of connection definition (see 7.13 ) whose ends are restricted to be port definitions (see 7.12 ).,An interface definition is a kind of connection definition (see 7.13 ) whose ends are restricted to be port definitions (see 7.12 ).,7.14.1,SysML2
Interface Usage,インターフェース使用,An interface usage is a kind of connection that is usage of an interface definition. The ends of an interface usage are restricted to be port usages.,An interface usage is a kind of connection that is usage of an interface definition.,7.14.1,SysML2
Port Definition,ポート定義,A port definition is a kind of occurrence definition (see 7.9 ) that defines a connection point to enable interactions between occurrences (most commonly parts).,An interface definition is a kind of connection definition (see 7.13 ) whose ends are restricted to be port definitions (see 7.12 ).,7.14.1,SysML2
Port Usage,ポート使用,A port usage is a kind of occurrence usage definition that is a usage of a port definition.,The ends of an interface usage are restricted to be port usages.,7.14.1,SysML2
Conjugated Port Definition,共役ポート定義,Each port definition has a conjugated port definition whose directed features are conjugate to those of the original port definition.,Each port definition has a conjugated port definition whose directed features are conjugate to those of the original port definition.,7.14.1,SysML2
Flows,フロー,Flows of values and items between parts and actions (see 7.16 ).,"When modeling physical interactions, an interface definition or usage can contain constraints (see 7.20 ) to constrain the values of the features of the ports on its ends.",7.14.1,SysML2
Messages,メッセージ,"Messages are typically used to model abstract logical interaction between part usages in a certain context, which may be realized in a more detailed model using streaming or succession flows (or transfers from send actions to accept actions, see 7.17 ).","If a send action (see 7.17.7 ) is used to send a transfer via a port that is at one end of a binary interface, then the port at the other end of the interface automatically becomes the target of the transfer.",7.14.1,SysML2
Across variables,アクロス変数,"Features of the ports on its ends that are constrained by conservation laws across the interface (e.g., Kirchhoff’s Laws).","When specifying an interface between electrical components, the across and through variables are port features defined as Voltage and Current quantities, respectively.",7.14.1,SysML2
Through variables,スルー変数,"Features of the ports on its ends that are constrained by conservation laws across the interface (e.g., Kirchhoff’s Laws).","When specifying an interface between electrical components, the across and through variables are port features defined as Voltage and Current quantities, respectively.",7.14.1,SysML2
Binary Interface,バイナリインターフェース,A binary interface definition or usage is an interface that has exactly two ends.,"For a binary interface definition or usage, the base definition and usage are further restricted to BinaryInterface and binaryInterfaces, which enforce that the interface has exactly two ends.",7.14.2,SysML2
Voltage,電圧,A quantity representing electrical potential difference.,"When specifying an interface between electrical components, the across and through variables are port features defined as Voltage and Current quantities, respectively.",7.14.1,SysML2
Current,電流,A quantity representing the rate of flow of electric charge.,"When specifying an interface between electrical components, the across and through variables are port features defined as Voltage and Current quantities, respectively.",7.14.1,SysML2
