Term (EN),Equivalent (JP),Definition (EN),Context/Example (EN),Section,File
Attribute Definition,属性定義,"An attribute definition defines a set of data values, such as numbers, quantitative values with units, qualitative values such as text strings, or data structures of such values.","An attribute definition defines a set of data values, such as numbers, quantitative values with units, qualitative values such as text strings, or data structures of such values.",7.7.1,SysML2
Attribute Usage,属性使用,An attribute usage is a usage of an attribute definition.,An attribute usage is a usage of an attribute definition.,7.7.1,SysML2
referential (non-composite),参照的（非複合）,An attribute usage is always referential and any nested features of an attribute definition or usage must also be referential (see also 7.6 on referential and composite usages).,An attribute usage is always referential and any nested features of an attribute definition or usage must also be referential (see also 7.6 on referential and composite usages).,7.7.1,SysML2
data values (of an attribute usage),(属性使用の) データ値,The data values of an attribute usage are constrained to be in the range specified by its definition.,The data values of an attribute usage are constrained to be in the range specified by its definition.,7.7.1,SysML2
dimensional quantities,次元量,Attribute usages representing quantities with units are defined using the SysML Quantities and Units Domain Library or extensions of the elements in this library (see 9.8 ).,Attribute usages representing quantities with units are defined using the SysML Quantities and Units Domain Library or extensions of the elements in this library (see 9.8 ).,7.7.1,SysML2
unit (of quantity),(量の) 単位,"Fundamental to this approach is the principle that only the kind of unit (e.g., MassUnit, LengthUnit, TimeUnit, etc.) is associated with an attribute definition, while a specific unit (e.g., kg, m, s, etc.) is only given with an actual quantity value.","Fundamental to this approach is the principle that only the kind of unit (e.g., MassUnit, LengthUnit, TimeUnit, etc.) is associated with an attribute definition, while a specific unit (e.g., kg, m, s, etc.) is only given with an actual quantity value.",7.7.1,SysML2
occurrence definition or usage (owner of attribute usage),オカレンス定義または使用 (属性使用の所有者),"However, the owner of an attribute usage may be an occurrence definition or usage (or a specialized kind of occurrence, such as an item, part or action).","However, the owner of an attribute usage may be an occurrence definition or usage (or a specialized kind of occurrence, such as an item, part or action).",7.7.1,SysML2
lifetime (of an occurrence),(オカレンスの) ライフタイム,"in the sense that it can have different values at different points in time, reflecting the changing condition of the occurrence over time.","the value of the attribute usage may vary over the lifetime of its owning occurrence, in the sense that it can have different values at different points in time, reflecting the changing condition of the occurrence over time.",7.7.1,SysML2
attribute (keyword),属性 (キーワード),"An attribute definition is declared as described in 7.6.2 , using the kind keyword attribute.","An attribute definition is declared as described in 7.6.2 , using the kind keyword attribute.",7.7.2,SysML2
ref (keyword for attribute usage),参照 (属性使用のキーワード),"An attribute usage is always referential, whether or not the ref keyword (see 7.6.3 ) is used explicitly in its declaration.","An attribute usage is always referential, whether or not the ref keyword (see 7.6.3 ) is used explicitly in its declaration.",7.7.2,SysML2
default multiplicity [1..1] (for attribute usage),デフォルト多重度 [1..1] (属性使用の場合),"The default multiplicity of an attribute usage is [1..1], under the conditions described in 7.6.3 .","The default multiplicity of an attribute usage is [1..1], under the conditions described in 7.6.3 .",7.7.2,SysML2
AttributeValue (base attribute definition),属性値 (基本属性定義),"The base attribute definition is AttributeValue from the Attributes library model (see 9.2.2 ), which is simply an alias for the data type DataValue from the KerML Base library model (see [KerML, 9.2.2]).","The base attribute definition is AttributeValue from the Attributes library model (see 9.2.2 ), which is simply an alias for the data type DataValue from the KerML Base library model (see [KerML, 9.2.2]).",7.7.2,SysML2
attributeValues (base attribute usage),属性値 (基本属性使用),"The base attribute usage is attributeValues from the Attributes library model, which is simply an alias for the feature dataValues from the KerML Base library model.","The base attribute usage is attributeValues from the Attributes library model, which is simply an alias for the feature dataValues from the KerML Base library model.",7.7.2,SysML2
