Term (EN),Equivalent (JA),Definition (EN),Context/Example (EN),Section,File
Annotations,注釈,"Annotations for attaching metadata to a model, including comments and textual representations (see 7.4).","SysML directly uses the following concepts from KerML: Annotations for attaching metadata to a model, including comments and textual representations (see 7.4).",7.4.1,SysML2
annotating element,注釈要素,An annotating element is an element that is used to provide additional information about other elements. An annotation is a relationship between an annotating element and an annotated element that is being described.,An annotating element is an element that is used to provide additional information about other elements.,7.4.1,SysML2
annotated element,注釈対象要素,An annotation is a relationship between an annotating element and an annotated element that is being described.,"An annotating element can annotate multiple annotated elements, and each element can have multiple annotations.",7.4.1,SysML2
annotation,注釈 (関係性),An annotation is a relationship between an annotating element and an annotated element that is being described.,"An annotating element can annotate multiple annotated elements, and each element can have multiple annotations.",7.4.1,SysML2
comment,コメント,A comment is one kind of annotating element that is used to provide textual descriptions about other elements.,A comment is one kind of annotating element that is used to provide textual descriptions about other elements.,7.4.1,SysML2
documentation,ドキュメンテーション,"Documentation is a distinguished kind of comment used to document the annotated element. Documentation comments always annotate a single element, which is their owning element.",Documentation is a distinguished kind of comment used to document the annotated element.,7.4.1,SysML2
textual representation,テキスト表現,A textual representation is an annotating element whose textual body provides a representation of the annotated element in a specifically named language.,A textual representation is an annotating element whose textual body provides a representation of the annotated element in a specifically named language.,7.4.1,SysML2
user-defined metadata,ユーザー定義メタデータ,"It is also possible to annotate elements with user-defined metadata, allowing both syntactic and semantic extension of SysML.","It is also possible to annotate elements with user-defined metadata, allowing both syntactic and semantic extension of SysML.",7.4.1,SysML2
comment keyword,`comment`キーワード,"The full declaration of a comment begins with the keyword comment, optionally followed by a short name and/or name (see 7.2).","The full declaration of a comment begins with the keyword comment, optionally followed by a short name and/or name (see 7.2).",7.4.2,SysML2
about keyword,`about`キーワード,"One or more qualified names of annotated elements for the comment, separated by commas, are then given after the keyword about, indicating that the comment has annotation relationships to each of the identified elements.","comment Comment1 about A, B /* This is the comment body text. */",7.4.2,SysML2
comment body,コメント本体,The body of the comment is written lexically as text between /* and */ delimiters.,The body of the comment is written lexically as text between /* and */ delimiters.,7.4.2,SysML2
locale keyword,`locale`キーワード,"A locale can also be specified for a comment, using the keyword locale followed by the locale string, placed immediately before the comment body (whether or not the comment keyword is used).","comment C_US_English locale ""en_US"" /* This is US English comment text */",7.4.2,SysML2
doc keyword,`doc`キーワード,"A documentation comment is notated similarly to a regular comment, but using the keyword doc rather than comment.","A documentation comment is notated similarly to a regular comment, but using the keyword doc rather than comment.",7.4.2,SysML2
rep keyword,`rep`キーワード,"A textual representation is notated similarly to a regular comment, but with the keyword rep used instead of comment.","calc def square { in attribute x : ScalarValues::Real; return :ScalarValues::Real; rep square language ""Python"" /* * def square(x:float) -> float: * return x**2 */ }",7.4.3,SysML2
language keyword,`language`キーワード,A textual representation declaration must also specify the language as a literal string following the keyword language.,"action def setX(c : C, newX : Real) { language ""alf"" /* c.x = newX; * WriteLine(""Set new x""); */ }",7.4.3,SysML2
"semantically ""opaque"" element",意味的に「不透明な」要素,"An element with no other definition than a textual representation in a language other than SysML is essentially a semantically ""opaque"" element specified in the other language.","An element with no other definition than a textual representation in a language other than SysML is essentially a semantically ""opaque"" element specified in the other language.",7.4.3,SysML2
metadata feature,メタデータフィーチャ,"A metadata feature is syntactically a feature (see [KerML, 7.3.4]) that is typed by a single metaclass, which is a kind of structure (see [KerML, 7.4.4]), with implicit multiplicity 1..1.","Specific kinds of annotating elements include comments and textual representations (see [KerML, 7.2.4.2] and [KerML, 7.2.4.3]). A further kind of annotating element for user-defined metadata is defined in the Kernel layer (see [KerML, 7.4.13]).",7.4.13,KerML1
metadata,メタデータ,"Metadata is additional information on elements of a model that does not have any instance-level semantics (in the sense described in [KerML, 7.3.1]).","Metadata is additional information on elements of a model that does not have any instance-level semantics (in the sense described in [KerML, 7.3.1]).",7.4.13,KerML1
metaclass,メタクラス,"A metaclass is declared like a structure (see [KerML, 7.4.4]), but using the keyword metaclass.",metaclass SecurityRelated;,7.4.13,KerML1
metadata keyword,`metadata`キーワード,"A metadata feature is declared using the keyword metadata (or the symbol @), optionally followed by a short name and/or name, followed by the keyword typed by (or the symbol :) and the qualified name of exactly one metaclass.",metadata SecurityAnnotation : SecurityRelated about SecurityDesign;,7.4.13,KerML1
user-defined keyword,ユーザー定義キーワード,A user-defined keyword is a (possibly qualified) metaclass name or short name preceded by the symbol #.,#command behavior Save;,7.4.13,KerML1
