Term (EN),Equivalent (JA),Definition (EN),Context/Example (EN),Section,File
Systems Modeling Language (SysML),システムモデリング言語 (SysML),"The purpose of this standard is to specify the Systems Modeling Language™ (SysML), to guide the implementation of conformant modeling tools, and to provide the basis for the development of material and other resources to train users in the application of SysML.","The purpose of this standard is to specify the Systems Modeling Language™ (SysML), to guide the implementation of conformant modeling tools, and to provide the basis for the development of material and other resources to train users in the application of SysML.",2,SysML2
SysML model,SysMLモデル,A SysML model shall conform to this specification only if it can be represented according to the syntactic requirements specified in Clause 8.,A SysML model shall conform to this specification only if it can be represented according to the syntactic requirements specified in Clause 8.,2,SysML2
SysML modeling tool,SysMLモデリングツール,"A SysML modeling tool is a software application that creates, manages, analyzes, visualizes, executes or performs other services on SysML models.","A SysML modeling tool is a software application that creates, manages, analyzes, visualizes, executes or performs other services on SysML models. A tool can conform to this specification in one or more of the following ways.",2,SysML2
Abstract Syntax Conformance,抽象構文適合性,"A tool demonstrating Abstract Syntax Conformance provides a user interface and/or API that enables instances of SysML abstract syntax metaclasses to be created, read, updated, and deleted. The tool must also provide a way to validate the well-formedness of models that corresponds to the constraints defined in the SysML metamodel. A well-formed model represented according to the abstract syntax is syntactically conformant to SysML as defined above.","1. Abstract Syntax Conformance. A tool demonstrating Abstract Syntax Conformance provides a user interface and/or API that enables instances of SysML abstract syntax metaclasses to be created, read, updated, and deleted. The tool must also provide a way to validate the well-formedness of models that corresponds to the constraints defined in the SysML metamodel. A well-formed model represented according to the abstract syntax is syntactically conformant to SysML as defined above. (See 8.3 .)",2,SysML2
Concrete Syntax Conformance,具体構文適合性,"A tool demonstrating Concrete Syntax Conformance provides a user interface and/or API that enables instances of SysML concrete syntax notation to be created, read, updated, and deleted. Note that a conforming tool may also provide the ability to create, read, update and delete additional notational elements that are not defined in SysML. Concrete Syntax Conformance implies Abstract Syntax Conformance, in that creating models in the concrete syntax acts as a user interface for the abstract syntax. However, a tool demonstrating Concrete Syntax Conformance need not represent a model internally in exactly the form modeled for the abstract syntax in this specification.","2. Concrete Syntax Conformance. A tool demonstrating Concrete Syntax Conformance provides a user interface and/or API that enables instances of SysML concrete syntax notation to be created, read, updated, and deleted. Note that a conforming tool may also provide the ability to create, read, update and delete additional notational elements that are not defined in SysML. Concrete Syntax Conformance implies Abstract Syntax Conformance, in that creating models in the concrete syntax acts as a user interface for the abstract syntax. However, a tool demonstrating Concrete Syntax Conformance need not represent a model internally in exactly the form modeled for the abstract syntax in this specification. (See 8.2 .)",2,SysML2
Textual Notation Conformance,テキスト表記適合性,A tool demonstrating Textual Notation Conformance provides Concrete Syntax Conformance for the SysML textual notation.,There are two variants of Concrete Syntax Conformance: a. Textual Notation Conformance. A tool demonstrating Textual Notation Conformance provides Concrete Syntax Conformance for the SysML textual notation. (See 8.2.2 ),2,SysML2
Graphical Notation Conformance,グラフィカル表記適合性,"A tool demonstrating Graphical Notation Conformance provides Concrete Syntax Conformance for the SysML graphical notation. As part of this, the tool shall also support the textual notation at least to the extent necessary to properly render text in the graphical notation, and may also fully support the textual notation in conjunction with the graphical notation.","b. Graphical Notation Conformance. A tool demonstrating Graphical Notation Conformance provides Concrete Syntax Conformance for the SysML graphical notation. As part of this, the tool shall also support the textual notation at least to the extent necessary to properly render text in the graphical notation, and may also fully support the textual notation in conjunction with the graphical notation. (See 8.2.3 .)",2,SysML2
Semantic Conformance,意味適合性,"A tool demonstrating Semantic Conformance provides a demonstrable way to interpret a syntactically conformant model (as defined above) according to the SysML semantics, e.g., via semantic model analysis or model execution. Semantic Conformance implies Abstract Syntax Conformance, in that the semantics for SysML are only defined on well-formed models represented in the abstract syntax.","3. Semantic Conformance. A tool demonstrating Semantic Conformance provides a demonstrable way to interpret a syntactically conformant model (as defined above) according to the SysML semantics, e.g., via semantic model analysis or model execution. Semantic Conformance implies Abstract Syntax Conformance, in that the semantics for SysML are only defined on well-formed models represented in the abstract syntax. (See 8.4 and 9.2 .)",2,SysML2
Model Interchange Conformance,モデル交換適合性,"A tool demonstrating model interchange conformance can import and/ or export syntactically conformant SysML models (as defined above) as a project interchange file as specified in [KerML, Clause 10], with the following further conditions:","4. Model Interchange Conformance. A tool demonstrating model interchange conformance can import and/ or export syntactically conformant SysML models (as defined above) as a project interchange file as specified in [KerML, Clause 10], with the following further conditions: ◦ The project interchange file shall use the standard .kpar (KerML Project Archive) extension. ◦ All model interchange files in the project interchange file shall be SysML models. Textual notation files shall use the extension .sysml. ◦ The metadata for the project interchange file shall identify the metamodel using the normative SysML metamodel URI as given for this specification (i.e., https://www.omg.org/spec/SysML/yymmnn, where yymmnn is the current date-based version identifier).",2,SysML2
project interchange file,プロジェクト交換ファイル,The project interchange file shall use the standard .kpar (KerML Project Archive) extension. All model interchange files in the project interchange file shall be SysML models. Textual notation files shall use the extension .sysml.,"4. Model Interchange Conformance. A tool demonstrating model interchange conformance can import and/ or export syntactically conformant SysML models (as defined above) as a project interchange file as specified in [KerML, Clause 10], with the following further conditions: ◦ The project interchange file shall use the standard .kpar (KerML Project Archive) extension. ◦ All model interchange files in the project interchange file shall be SysML models. Textual notation files shall use the extension .sysml. ◦ The metadata for the project interchange file shall identify the metamodel using the normative SysML metamodel URI as given for this specification (i.e., https://www.omg.org/spec/SysML/yymmnn, where yymmnn is the current date-based version identifier).",2,SysML2
