Term (EN),Equivalent (JP),Definition (EN),Context/Example (EN),Section,File
Connection Definition,接続定義,"A connection definition is both a relationship and a kind of part definition (see 7.11 ) that classifies connections between related things, such as items and parts. Unless it is abstract, at least two of the owned features of a connection definition must be connection ends, which specify the things that are related by the connection definition. Connection definitions with exactly two connection ends are called binary connection definitions, and they classify binary connections.","A connection definition is both a relationship and a kind of part definition (see 7.11 ) that classifies connections between related things, such as items and parts.",7.13.1,SysML2
connection ends,接続端,"connection ends, which specify the things that are related by the connection definition.","Unless it is abstract, at least two of the owned features of a connection definition must be connection ends, which specify the things that are related by the connection definition.",7.13.1,SysML2
binary connection definitions,バイナリ接続定義,"Connection definitions with exactly two connection ends are called binary connection definitions, and they classify binary connections.","Connection definitions with exactly two connection ends are called binary connection definitions, and they classify binary connections.",7.13.1,SysML2
Connection Usage,接続使用,"A connection usage is a part usage (see 7.11 ) that is a usage of a connection definition, connecting usage elements such as item and part usages. A connection usage redefines the connection ends from its definition, associating those ends with the specific usage elements that are to be connected.","A connection usage is a part usage (see 7.11 ) that is a usage of a connection definition, connecting usage elements such as item and part usages.",7.13.1,SysML2
Binding,バインディング,"Bindings and successions are special kinds of connections. They are usages, but, unlike regular connection usages, they are not part usages. The connections specified by bindings and successions are not occurrences and are not created and destroyed. Rather, they assert specific relationships between the features that they connect, which must be true at all times.",Bindings and successions are special kinds of connections.,7.13.1,SysML2
Succession,継承,"A succession is a binary connection that requires its two related usages to have values that are occurrences that happen completely separated in time, with the first occurrence happening before the second.","A succession is a binary connection that requires its two related usages to have values that are occurrences that happen completely separated in time, with the first occurrence happening before the second.",7.13.1,SysML2
feature value,フィーチャ値,A feature value is a shorthand for initializing or binding a usage to the result of an expression (see 7.19 ) as part of the declaration of the usage. There are two types of feature value binding.,A feature value is a shorthand for initializing or binding a usage to the result of an expression (see 7.19 ) as part of the declaration of the usage.,7.13.1,SysML2
fixed feature value,固定フィーチャ値,"A fixed feature value establishes the binding of the usage to the result of evaluating the given expression at the point of declaration of the usage. Such a binding cannot be overridden in a redefinition of the usage because, once asserted, a binding must be true for all instances of the usage.",A fixed feature value establishes the binding of the usage to the result of evaluating the given expression at the point of declaration of the usage.,7.13.1,SysML2
default feature value,デフォルトフィーチャ値,"A default feature value also includes an expression, but it does not immediately establish the binding of the usage. Instead, the evaluation of the expression and the binding of the usage is delayed until the instantiation of a definition or usage that features the original usage. Unlike a fixed feature value, a default feature value can be overridden in a redefinition of its original feature with a new feature value (fixed or default).","A default feature value also includes an expression, but it does not immediately establish the binding of the usage.",7.13.1,SysML2
end features,端フィーチャ,"End features are declared as usages (see 7.6.3 ), prefixed by the keyword end. End features are always considered referential (non-composite), whether or not their declaration explicitly includes the ref keyword. The end features of a connection definition or usage identify the participants in the connections that are instances of the connection definition or usage and must have multiplicity 1..1.","End features are declared as usages (see 7.6.3 ), prefixed by the keyword end.",7.13.2,SysML2
participants,参加者,The end features of a connection definition or usage identify the participants in the connections that are instances of the connection definition or usage and must have multiplicity 1..1.,The end features of a connection definition or usage identify the participants in the connections that are instances of the connection definition or usage and must have multiplicity 1..1.,7.13.2,SysML2
cross subsetting,クロスサブセッティング,"For a binary connection definition or usage, one or both end features can be explicitly declared to subset a cross feature owned by the other related type. This is done with cross subsetting, which is a special kind of subsetting relationship specified using the keyword crossing or the symbol =>.","For a binary connection definition or usage, one or both end features can be explicitly declared to subset a cross feature owned by the other related type. This is done with cross subsetting, which is a special kind of subsetting relationship specified using the keyword crossing or the symbol =>.",7.13.2,SysML2
binding,バインディング,"A binding can be declared as a usage as described in 7.6.3 , using the kind keyword binding.","A binding can be declared as a usage as described in 7.6.3 , using the kind keyword binding.",7.13.3,SysML2
"fixed, initial feature value",固定初期フィーチャ値,"A fixed, initial feature value relationship is declared as above but using the symbol := instead of =.","A fixed, initial feature value relationship is declared as above but using the symbol := instead of =.",7.13.4,SysML2
succession,継承,"A succession can be declared as a usage as described in 7.6.3 , using the kind keyword succession.","A succession can be declared as a usage as described in 7.6.3 , using the kind keyword succession.",7.13.5,SysML2
source end,ソース端,"The two related features of a succession are identified after its declaration part and before its body, following the keyword succession and separated by the keyword then. If the declaration part is empty, then the keyword succession may be omitted. The related features of a succession must be occurrence usages. As for regular connection usages, constraining multiplicities can also be defined on the end features of a succession.",first [0..1] focus then [0..1] focus;,7.13.5,SysML2
target end,ターゲット端,"The two related features of a succession are identified after its declaration part and before its body, following the keyword succession and separated by the keyword then. If the declaration part is empty, then the keyword succession may be omitted. The related features of a succession must be occurrence usages. As for regular connection usages, constraining multiplicities can also be defined on the end features of a succession.",first [0..1] focus then [0..1] focus;,7.13.5,SysML2
