Term (EN),Equivalent (JP),Definition (EN),Context/Example (EN),Section,File
Systems Modeling Language (SysML),システムモデリング言語 (SysML),"The System Modeling Language (SysML) contains concepts that are used to model systems, their components, and the external environment in a context.","The purpose of this standard is to specify the Systems Modeling Language™ (SysML), to guide the implementation of conformant modeling tools, and to provide the basis for the development of material and other resources to train users in the application of SysML.",7.1,SysML2
Kernel Modeling Language (KerML),カーネルモデリング言語 (KerML),It extends the Kernel Modeling Language (KerML) as specified in the KerML specification [KerML].,"SysML directly uses some elements of KerML, but most SysML elements are specializations of KerML elements.",7.1,SysML2
Elements and relationships,要素と関係,Elements and relationships that define the basic graph structure of a model (see 7.2 ).,SysML directly uses the following concepts from KerML: Elements and relationships that define the basic graph structure of a model (see 7.2 ).,7.1,SysML2
Dependencies,依存関係,Dependencies between modeling elements (see 7.3 ).,SysML directly uses the following concepts from KerML: Dependencies between modeling elements (see 7.3 ).,7.1,SysML2
Annotations,アノテーション,"Annotations for attaching metadata to a model, including comments and textual representations (see 7.4 ).","SysML directly uses the following concepts from KerML: Annotations for attaching metadata to a model, including comments and textual representations (see 7.4 ).",7.1,SysML2
Namespaces,名前空間,"Namespaces that contain and name elements, and, particularly, packages used to organize the elements in a model (see 7.5 ).","SysML directly uses the following concepts from KerML: Namespaces that contain and name elements, and, particularly, packages used to organize the elements in a model (see 7.5 ).",7.1,SysML2
Packages,パッケージ,"Namespaces that contain and name elements, and, particularly, packages used to organize the elements in a model (see 7.5 ).","Namespaces that contain and name elements, and, particularly, packages used to organize the elements in a model (see 7.5 ).",7.1,SysML2
Specialization,特殊化,"Specialization of elements that specify types, including subclassification, subsetting, redefinition and feature typing (see 7.6 ).","SysML directly uses the following concepts from KerML: Specialization of elements that specify types, including subclassification, subsetting, redefinition and feature typing (see 7.6 ).",7.1,SysML2
Subclassification,サブ分類,"Specialization of elements that specify types, including subclassification, subsetting, redefinition and feature typing (see 7.6 ).","Specialization of elements that specify types, including subclassification, subsetting, redefinition and feature typing (see 7.6 ).",7.1,SysML2
Subsetting,サブセット化,"Specialization of elements that specify types, including subclassification, subsetting, redefinition and feature typing (see 7.6 ).","Specialization of elements that specify types, including subclassification, subsetting, redefinition and feature typing (see 7.6 ).",7.1,SysML2
