Term (EN),Equivalent (JP),Definition (EN),Context/Example (EN),Section,File
State,状態,"A state definition is a kind of action definition (see 7.17 ) that defines the conditions under which other actions can execute. A state usage is a usage of a state definition. State definitions and usages are used to describe state-based behavior, where the execution of any particular state is triggered by events.",A state definition is a kind of action definition (see 7.17 ) that defines the conditions under which other actions can execute.,7.18,SysML2
entry action,エントリアクション,An entry action starts when the state is activated.,An entry action starts when the state is activated.,7.18,SysML2
do action,ドゥアクション,A do action starts after the entry action completes and continues while the state is active.,A do action starts after the entry action completes and continues while the state is active.,7.18,SysML2
exit action,イグジットアクション,"An exit action starts when the state is exited, and the state becomes inactive once the exit action is completed.","An exit action starts when the state is exited, and the state becomes inactive once the exit action is completed.",7.18,SysML2
Exhibited States,提示状態,"A state usage can be a feature of a part definition or a part usage, which can exhibit a state by referencing the state usage or by containing an owned state usage.","A state usage can be a feature of a part definition or a part usage, which can exhibit a state by referencing the state usage or by containing an owned state usage.",7.18,SysML2
Transition,遷移,"State usages can be connected by transition usages, which can activate and deactivate the state usages.","State usages can be connected by transition usages, which can activate and deactivate the state usages.",7.18,SysML2
guard condition,ガード条件,"The transition usage can contain a guard condition, which is a Boolean expression (see 7.19 ) that must evaluate to true for the transition to occur.","The transition usage can contain a guard condition, which is a Boolean expression (see 7.19 ) that must evaluate to true for the transition to occur.",7.18,SysML2
effect action,エフェクトアクション,"a transition usage may specify an effect action usage that starts if the transition is triggered, after the source state is deactivated, and must complete before the target state is activated.","a transition usage may specify an effect action usage that starts if the transition is triggered, after the source state is deactivated, and must complete before the target state is activated.",7.18,SysML2
Parallel States,並行状態,A parallel state is one whose substates are performed concurrently.,A parallel state is one whose substates are performed concurrently.,7.18,SysML2
state (keyword),状態 (キーワード),"A state definition or usage is declared as an action definition or usage (see 7.17.2 ), but using the keyword state instead of action.","A state definition or usage is declared as an action definition or usage (see 7.17.2 ), but using the keyword state instead of action.",7.18.2,SysML2
entry action (keyword),エントリアクション (キーワード),"In addition, entry, do and exit actions can be declared (at most one of each) in the body of a state definition or usage, using the keywords entry action, do action, and exit action, followed by an action declaration and body, in the usual form.","In addition, entry, do and exit actions can be declared (at most one of each) in the body of a state definition or usage, using the keywords entry action, do action, and exit action, followed by an action declaration and body, in the usual form.",7.18.2,SysML2
do action (keyword),ドゥアクション (キーワード),"In addition, entry, do and exit actions can be declared (at most one of each) in the body of a state definition or usage, using the keywords entry action, do action, and exit action, followed by an action declaration and body, in the usual form.","In addition, entry, do and exit actions can be declared (at most one of each) in the body of a state definition or usage, using the keywords entry action, do action, and exit action, followed by an action declaration and body, in the usual form.",7.18.2,SysML2
exit action (keyword),イグジットアクション (キーワード),"In addition, entry, do and exit actions can be declared (at most one of each) in the body of a state definition or usage, using the keywords entry action, do action, and exit action, followed by an action declaration and body, in the usual form.","In addition, entry, do and exit actions can be declared (at most one of each) in the body of a state definition or usage, using the keywords entry action, do action, and exit action, followed by an action declaration and body, in the usual form.",7.18.2,SysML2
parallel (keyword),並行 (キーワード),"If the keyword parallel is added to a state definition or usage, just before the body part, then that state definition or usage becomes a parallel state, and its contained state usages can be performed concurrently (that is, ""in parallel"").","If the keyword parallel is added to a state definition or usage, just before the body part, then that state definition or usage becomes a parallel state, and its contained state usages can be performed concurrently (that is, ""in parallel"").",7.18.2,SysML2
transition (keyword),遷移 (キーワード),A transition usage is identified with the keyword transition.,A transition usage is identified with the keyword transition.,7.18.3,SysML2
accepter,受容アクション,"A transition usage can also have an accepter, which is an accept action usage use to trigger the transition.","A transition usage can also have an accepter, which is an accept action usage use to trigger the transition.",7.18.3,SysML2
guard expression,ガード式,A transition usage can also have a Boolean-valued guard expression.,A transition usage can also have a Boolean-valued guard expression.,7.18.3,SysML2
effect action,エフェクトアクション,"Finally, a transition usage can have an effect action, which is an action usage that is performed if the transition usage is triggered.","Finally, a transition usage can have an effect action, which is an action usage that is performed if the transition usage is triggered.",7.18.3,SysML2
exhibit state (keyword),提示状態 (キーワード),An exhibit state usage is declared as a state usage (see 7.18.2 ) but using the kind keyword exhibit state instead of just state.,An exhibit state usage is declared as a state usage (see 7.18.2 ) but using the kind keyword exhibit state instead of just state.,7.18.4,SysML2
exhibit (keyword),提示 (キーワード),An exhibit state usage may also be declared using just the keyword exhibit instead of exhibit state.,An exhibit state usage may also be declared using just the keyword exhibit instead of exhibit state.,7.18.4,SysML2
