Term (EN),Equivalent (JA),Definition (EN),Context/Example (EN),Section,File
Definition element,定義要素,"a definition element classifies a certain kind of element (e.g., a classification of attributes, parts, actions, etc.).","In general, a definition element classifies a certain kind of element (e.g., a classification of attributes, parts, actions, etc.).",7.6.1,SysML2
Usage element,使用要素,A usage element is a usage of a definition element in a certain context.,A usage element is a usage of a definition element in a certain context.,7.6.1,SysML2
Feature,フィーチャ,"A definition may have owned usage elements nested in it, referred to as its features.","A definition may have owned usage elements nested in it, referred to as its features.",7.6.1,SysML2
Variability,可変性,"The modeling of variability, which includes the definition of variation points within a model where choices can be made to select a specific variant, and the selection of a particular variant may constrain the allowable choices at other variation points.","The modeling of variability, which includes the definition of variation points within a model where choices can be made to select a specific variant, and the selection of a particular variant may constrain the allowable choices at other variation points.",7.6.1,SysML2
Variation point,バリエーションポイント,A variation (sometimes referred to as a variation point) identifies an element in a model that can vary from one design configuration to another.,A variation (sometimes referred to as a variation point) identifies an element in a model that can vary from one design configuration to another.,7.6.1,SysML2
Variant,バリアント,"For each variation, there are design choices called variants.","For each variation, there are design choices called variants.",7.6.1,SysML2
Attribute,属性,"Attributes that specify characteristics of something that can be defined by simple or compound data types, and dimensional quantities such as mass, length, etc.","The modeling of attributive information about things, including: Attributes that specify characteristics of something that can be defined by simple or compound data types, and dimensional quantities such as mass, length, etc. (see 7.7 ).",7.6.1,SysML2
Enumeration,列挙,Enumerations that are attributes restricted to a specified set of enumerated values.,Enumerations that are attributes restricted to a specified set of enumerated values (see 7.8 ).,7.6.1,SysML2
Occurrence,オカレンス,The modeling of occurrences with temporal and spatial extent.,"The modeling of occurrences with temporal and spatial extent. Temporal extent enables an occurrence to be represented at specific points in time, over a duration in time, or over an entire lifetime. Spatial extent enables an occurrence to be represented at a position and orientation with respect to a coordinate frame, and to have a shape and size (see 7.9 ).",7.6.1,SysML2
Individual,個体,The modeling of individuals with specific identities.,The modeling of individuals with specific identities (see 7.9 ).,7.6.1,SysML2
Definition,定義,"A definition element classifies a certain kind of element (e.g., a classification of attributes, parts, actions, etc.).","A definition is declared using a keyword specific to the kind of definition (e.g., item, part, action, etc.) followed by the keyword def.",7.6.2,SysML2
Abstract definition,抽象定義,A definition is specified as abstract by placing the keyword abstract before its kind keyword.,A definition is specified as abstract by placing the keyword abstract before its kind keyword.,7.6.2,SysML2
