Term (EN),Equivalent (JA),Definition (EN),Context/Example (EN),Section,File
Viewpoint Definition,ビューポイント定義,A viewpoint definition is a kind of requirement definition (see 7.21 ) that frames the concerns of one or more stakeholders regarding information about a modeled system or domain of interest.,A viewpoint definition is a kind of requirement definition (see 7.21 ) that frames the concerns of one or more stakeholders regarding information about a modeled system or domain of interest.,7.26.1,SysML2
Viewpoint Usage,ビューポイント使用,A viewpoint usage is a requirement usage that is a usage of a viewpoint definition.,A viewpoint usage is a requirement usage that is a usage of a viewpoint definition.,7.26.1,SysML2
View Definition,ビュー定義,A view definition is a kind of part definition (see 7.11 ) that specifies how to create a view artifact to satisfy one or more viewpoints.,A view definition is a kind of part definition (see 7.11 ) that specifies how to create a view artifact to satisfy one or more viewpoints.,7.26.1,SysML2
View Artifact,ビュー成果物,A view artifact is a rendering of information that addresses some aspect of a system or domain of interest of concern to one or more stakeholders.,A view artifact is a rendering of information that addresses some aspect of a system or domain of interest of concern to one or more stakeholders.,7.26.1,SysML2
View Condition,ビュー条件,"A view definition can include view conditions to extract the relevant model content, and a rendering that specifies how the model content should be rendered in a view artifact.","A view condition is specified using metadata, in the same way as for a filter condition on a package (see 7.5 ).",7.26.1,SysML2
View Rendering,ビューレンダリング,"A view definition can include view conditions to extract the relevant model content, and a rendering that specifies how the model content should be rendered in a view artifact.","A view definition can include view conditions to extract the relevant model content, and a rendering that specifies how the model content should be rendered in a view artifact.",7.26.1,SysML2
View Usage,ビュー使用,A view usage is a kind of part usage (see 7.11 ) that is a usage of a view definition.,A view usage is a kind of part usage (see 7.11 ) that is a usage of a view definition.,7.26.1,SysML2
Rendering Definition,レンダリング定義,A rendering definition is a kind of part definition (see 7.11 ) that specifies how a view artifact is to be rendered.,A rendering definition is a kind of part definition (see 7.11 ) that specifies how a view artifact is to be rendered.,7.26.1,SysML2
Rendering Usage,レンダリング使用,A rendering usage is a kind of part usage that is a usage of a rendering definition.,A rendering usage is a kind of part usage that is a usage of a rendering definition.,7.26.1,SysML2
Compartment,コンパートメント,A compartment is a view usage (see 7.26.2 ).,A compartment is a view usage (see 7.26.2 ).,7.26.5,SysML2
Diagram,ダイアグラム,A diagram is also a view usage.,A diagram is also a view usage.,7.26.5,SysML2
Expose Relationship,公開関係,"Expose relationships are declared like import relationships (see 7.5.3 ), but using the keyword expose instead of import and with no specification of visibility.","In addition, a view usage can specify which elements are actually to be exposed by the view. This is done using expose relationships, which are a special kind of import relationships.",7.26.2,SysML2
Standard View Definitions,標準ビュー定義,This package defines normative standard view definitions that shall be supported by any tool conforming to the SysML graphical notation.,"The StandardViewDefinitions package in the Systems Model Library (see 9.2.20 ) provides a set of standard view definitions for typical kinds of diagrams, including the valid contents for the view.",7.26.5,SysML2
