Term (EN),Equivalent (JA),Definition (EN),Context/Example (EN),Section,File
Geometry Domain Library,幾何ドメインライブラリ,The Geometry Domain Library contains a general library model of physical items with spatial extent and a library model of specific spatial items that represent basic geometric shapes.,The Geometry Domain Library contains a general library model of physical items with spatial extent and a library model of specific spatial items that represent basic geometric shapes.,9.7.1,SysML2
SpatialItem,空間アイテム,A SpatialItem is an Item with a three-dimensional spatial extent that also acts as a SpatialFrame of reference.,A SpatialItem is an Item with a three-dimensional spatial extent that also acts as a SpatialFrame of reference.,9.7.2.2.5,SysML2
CurrentDisplacementOf,現在の変位,"The CurrentDisplacementOf two Points relative to a SpatialItem and a Clock is the DisplacementOf the Points relative to the SpacialItem, at the currentTime of the Clock.","The CurrentDisplacementOf two Points relative to a SpatialItem and a Clock is the DisplacementOf the Points relative to the SpacialItem, at the currentTime of the Clock.",9.7.2.2.1,SysML2
CurrentPositionOf,現在の位置,The CurrentPositionOf a Point relative to a SpatialItem and a Clock is the PositionOf the Point relative to the SpatialItem at the currentTime of the Clock.,The CurrentPositionOf a Point relative to a SpatialItem and a Clock is the PositionOf the Point relative to the SpatialItem at the currentTime of the Clock.,9.7.2.2.2,SysML2
DisplacementOf,変位,"The DisplacementOf two Points relative to a SpatialItem, at a specific TimeInstantValue relative to a given Clock, is the displacementVector computed as the difference between the PositionOf the first Point and PositionOf the second Point, relative to that SpatialItem, at that timeInstant","The DisplacementOf two Points relative to a SpatialItem, at a specific time relative to a given Clock, is the displacementVector computed as the difference between the PositionOf the first Point and PositionOf the second Point, relative to that SpatialItem, at that time",9.7.2.2.3,SysML2
PositionOf,位置,"The PositionOf a Point relative to a SpatialItem, at a specific TimeInstantValue relative to a given Clock, as a positionVector that is a VectorQuantityValue in the coordinateFrame of the SpatialItem. The default Clock is the localClock of the SpatialItem.","The PositionOf a Point relative to a SpatialItem, at a specific TimeInstantValue relative to a given Clock, as a positionVector that is a VectorQuantityValue in the coordinateFrame of the SpatialItem. The default Clock is the localClock of the SpatialItem.",9.7.2.2.4,SysML2
Shape Items,形状アイテム,"This package defines basic geometric Items, most of which can be used as shapes of other Items (see 7.10 ). Their innerSpaceDimensions are either 1 (Curves) or 2 (Surfaces), which is the number of variables needed to identify any space point occupied by an Item, without regard to higher dimensional spaces in which it might be embedded (see Occurrences and Objects in [KerML]). All are StructuredSpaceObjects (Paths and Shells for Curves and Surfaces, respectively), except for Lines. This enables them to divide their spaceSlices into faces, edges, and vertices, identifying Surfaces, Curve, and Points, respectively. Paths have no faces, but Shells do. All the Paths and Shells are closed (isClosed=true, they have no shape), except for Discs, enabling them to be shapes of other Items.","This package defines basic geometric Items, most of which can be used as shapes of other Items (see 7.10 ).",9.7.3.1,SysML2
Circle,円,A Circle is an Ellipse with semiaxes equal to its radius.,A Circle is an Ellipse with semiaxes equal to its radius.,9.7.3.2.1,SysML2
CircularCone,円錐,A CircularCone is a Cone with a circular base.,A CircularCone is a Cone with a circular base.,9.7.3.2.2,SysML2
CircularCylinder,円柱,A CircularCylinder is a Cylinder with two circular sides.,A CircularCylinder is a Cylinder with two circular sides.,9.7.3.2.3,SysML2
CircularDisc,円盤,A CircularDisc is a Disc bound by a Circle.,A CircularDisc is a Disc bound by a Circle.,9.7.3.2.4,SysML2
Cone,円錐,A Cone has one elliptical sides joined to a point by a curved side.,A Cone has one elliptical sides joined to a point by a curved side.,9.7.3.2.5,SysML2
ConeOrCylinder,円錐または円柱,"A ConeOrCylinder is a Cone or a Cylinder with a given elliptical base, height, width (perpendicular distance from the base to the center of the top side or vertex), and offsets of this perpendicular at the base from the center of the base.","A ConeOrCylinder is a Cone or a Cylinder with a given elliptical base, height, width (perpendicular distance from the base to the center of the top side or vertex), and offsets of this perpendicular at the base from the center of the base.",9.7.3.2.6,SysML2
ConicSection,円錐曲線,"A ConicSection is a closed PlanarCurve, possibly disconnected, see Hyperbola.","A ConicSection is a closed PlanarCurve, possibly disconnected, see Hyperbola.",9.7.3.2.7,SysML2
ConicSurface,円錐曲面,A ConicSurface is a Surface that has ConicSection cross-sections.,A ConicSurface is a Surface that has ConicSection cross-sections.,9.7.3.2.8,SysML2
Cuboid,直方体,"A Cuboid is a Polyhedron with six sides, all quadrilateral.","A Cuboid is a Polyhedron with six sides, all quadrilateral.",9.7.3.2.9,SysML2
CuboidOrTriangularPrism,直方体または三角柱,A CuboidOrTriangularPrism is a Polyhedron that is either a Cuboid or TriangularPrism.,A CuboidOrTriangularPrism is a Polyhedron that is either a Cuboid or TriangularPrism.,9.7.3.2.10,SysML2
Cylinder,円柱,A Cylinder has two elliptical sides joined by a curved side.,A Cylinder has two elliptical sides joined by a curved side.,9.7.3.2.11,SysML2
Disc,円盤,A Disc is a Shell bound by an Ellipse.,A Disc is a Shell bound by an Ellipse.,9.7.3.2.12,SysML2
EccentricCone,偏心円錐,An EccentricCone is a Cone with least one positive offset.,An EccentricCone is a Cone with least one positive offset.,9.7.3.2.13,SysML2
EccentricCylinder,偏心円柱,An EccentricCylinder is a Cylinder,An EccentricCylinder is a Cylinder,9.7.3.2.14,SysML2
Ellipse,楕円,An Ellipse is a ConicSection in the shape of an ellipse of given semiaxes.,An Ellipse is a ConicSection in the shape of an ellipse of given semiaxes.,9.7.3.2.15,SysML2
Ellipsoid,楕円体,An Ellipsoid is a ConicSurface with only elliptical cross-sections.,An Ellipsoid is a ConicSurface with only elliptical cross-sections.,9.7.3.2.16,SysML2
Hyperbola,双曲線,A Hyperbola is a planar Path in the shape of a hyperbola with given axes.,A Hyperbola is a planar Path in the shape of a hyperbola with given axes.,9.7.3.2.17,SysML2
Hyperboloid,双曲面,A Hyperboloid is a ConicSurface with only hyperbolic cross-sections.,A Hyperboloid is a ConicSurface with only hyperbolic cross-sections.,9.7.3.2.18,SysML2
Line,線,A Line is a PlanarCurve that is straight.,A Line is a PlanarCurve that is straight.,9.7.3.2.19,SysML2
Parabola,放物線,A Parabola is a planar Path in the shape of a parabola of a given focal length.,A Parabola is a planar Path in the shape of a parabola of a given focal length.,9.7.3.2.20,SysML2
Paraboloid,放物面,A Paraboloid is a ConicSurface with only parabolic cross-sections.,A Paraboloid is a ConicSurface with only parabolic cross-sections.,9.7.3.2.21,SysML2
Path,パス,Path is the most general structured Curve.,Path is the most general structured Curve.,9.7.3.2.22,SysML2
PlanarCurve,平面曲線,A PlanarCurve is a Curve with a given length embeddable in a plane.,A PlanarCurve is a Curve with a given length embeddable in a plane.,9.7.3.2.23,SysML2
PlanarSurface,平面,A PlanarSurface is a Surface with given area that is flat.,A PlanarSurface is a Surface with given area that is flat.,9.7.3.2.24,SysML2
Polygon,多角形,A Polygon is a closed planar Path with straight edges.,A Polygon is a closed planar Path with straight edges.,9.7.3.2.25,SysML2
Polyhedron,多面体,A Polyhedron is a closed Shell with polygonal sides.,A Polyhedron is a closed Shell with polygonal sides.,9.7.3.2.26,SysML2
Pyramid,角錐,"A Pyramid is a Polyhedron with the sides of a polygon (base) forming the bases of triangles that join at an apex point. Its height is the perpindicular distance from the base to the apex, and its offsets are between this perpindicular at the base and the center of the base.",A Pyramid is a Polyhedron with the sides of a polygon (base) forming the bases of triangles that join at an apex point.,9.7.3.2.27,SysML2
Quadrilateral,四角形,A Quadrilateral is a four-sided Polygon.,A Quadrilateral is a four-sided Polygon.,9.7.3.2.28,SysML2
Rectangle,長方形,A Rectangle is a Quadrilateral with four right angles and given length and width.,A Rectangle is a Quadrilateral with four right angles and given length and width.,9.7.3.2.29,SysML2
RectangularCuboid,長方形直方体,A RectangularCuboid is a Cuboid with all Rectangular sides.,A RectangularCuboid is a Cuboid with all Rectangular sides.,9.7.3.2.30,SysML2
RectangularPyramid,長方形角錐,A RectangularPyramid is a Pyramid with a rectangular base.,A RectangularPyramid is a Pyramid with a rectangular base.,9.7.3.2.31,SysML2
RectangularToroid,長方形トーラス,A RectangularToroid is a revolution of a Rectangle.,A RectangularToroid is a revolution of a Rectangle.,9.7.3.2.32,SysML2
RightCircularCone,直円錐,A RightCircularCone is a CircularCone with zero offsets.,A RightCircularCone is a CircularCone with zero offsets.,9.7.3.2.33,SysML2
RightCircularCylinder,直円柱,A RightCircularCylinder is a CircularCylinder with zero offsets.,A RightCircularCylinder is a CircularCylinder with zero offsets.,9.7.3.2.34,SysML2
RightTriangle,直角三角形,A RightTriangle is a Triangle with edges opposite the hypotenuse at right angles.,A RightTriangle is a Triangle with edges opposite the hypotenuse at right angles.,9.7.3.2.35,SysML2
RightTriangularPrism,直角三角柱,"A RightTriangularPrism is a TriangularPrism with two right triangular sides, with given length, width, and height.","A RightTriangularPrism is a TriangularPrism with two right triangular sides, with given length, width, and height.",9.7.3.2.36,SysML2
Shell,シェル,Shell is the most general structured Surface.,Shell is the most general structured Surface.,9.7.3.2.37,SysML2
Sphere,球,A Sphere is an Ellipsoid with all the same semiaxes.,A Sphere is an Ellipsoid with all the same semiaxes.,9.7.3.2.38,SysML2
Tetrahedron,四面体,A Tetrahedron is Pyramid with a triangular base.,A Tetrahedron is Pyramid with a triangular base.,9.7.3.2.39,SysML2
