Term (EN),Equivalent (JA),Definition (EN),Context/Example (EN),Section,File
Requirement Definition,要求定義,A requirement definition is a kind of constraint definition (see 7.20 ) that specifies stakeholder-imposed constraints that a design solution must satisfy to be a valid solution.,A requirement definition contains one or more features that are constraint usages designated as the required constraints.,7.21.1,SysML2
Required Constraint,必須制約,"The owned ConstraintUsages that represent requirements of this RequirementDefinition, derived as the ownedConstraints of the RequirementConstraintMemberships of the RequirementDefinition with kind = requirement.",A requirement definition contains one or more features that are constraint usages designated as the required constraints.,7.21.1,SysML2
Assumed Constraint,仮定制約,"The owned ConstraintUsages that represent assumptions of this RequirementDefinition, derived as the ownedConstraints of the RequirementConstraintMemberships of the RequirementDefinition with kind = assumption.",A requirement definition may also optionally include assumed constraints.,7.21.1,SysML2
Requirement Usage,要求使用,A requirement usage is a kind of constraint usage (see 7.20 ) that is a usage of a requirement definition in some context.,A design solution must satisfy the requirement and all of its member requirements and constraints to be a valid solution.,7.21.1,SysML2
Subject (of a requirement),(要求の)対象,"A requirement definition or usage always has a subject, which is a distinguished parameter that identifies the entity on which the requirement is being specified.","For example, if the subject of a requirement is defined to be a Vehicle, then a standard vehicle model or sports vehicle model can satisfy the requirement, as long as these usages are defined by Vehicle or a specialization of it.",7.21.1,SysML2
Actor (parameter),アクター (パラメータ),An actor parameter represents a role played by an entity external to the subject of the requirement but necessary for the satisfaction of the requirement.,"For example, a requirement whose subject is a Vehicle may also specify an actor that is the Driving Environment.",7.21.1,SysML2
Stakeholder (parameter),ステークホルダー (パラメータ),"A stakeholder parameter represents a role played by an entity (usually a person, organization or other group) having concerns related to the containing requirement.",Stakeholder concerns may also be explicitly modeled as special kinds of requirements.,7.21.1,SysML2
Concern Definition,関心事定義,A concern definition is a kind of requirement definition that represents a stakeholder concern.,A concern definition or usage is declared as a requirement definition or usage (see 7.21.2 ) using the kind keyword concern instead of requirement.,7.21.3,SysML2
Concern Usage,関心事使用,A concern usage is a kind of requirement usage that is a usage of a concern definition.,The stakeholder parameters of a concern definition or usage then delineate the stakeholders that have a certain concern.,7.21.3,SysML2
Framed Concern Usage,フレーム化された関心事使用,A framed concern usage is a subrequirement usage (see 7.21.2 ) indicated by prefixing a concern usage declaration with the keyword frame.,One or more concerns can then be framed in other requirement definitions and usages.,7.21.3,SysML2
Satisfy Requirement Usage,要求充足使用,A satisfy requirement usage is a kind of assert constraint usage (see 7.20 ) that asserts that a requirement is satisfied when a given feature is bound to the subject parameter of the requirement.,"A satisfy requirement usage is declared as a requirement usage (see 7.21.2 ), using the kind keyword satisfy requirement.",7.21.4,SysML2
Requirement ID,要求ID,"An optional modeler-specified identifier for this RequirementDefinition (used, e.g., to link it to an original requirement text in some source document), which is the declaredShortName for the RequirementDefinition.","If a requirement definition or usage is declared with a short name (see 7.2 ), then this is also considered to be its requirement ID.",7.21.2,SysML2
