Term (EN),Equivalent (JA),Definition (EN),Context/Example (EN),Section,File
Systems Modeling Language (SysML),システムモデリング言語 (SysML),"The purpose of this standard is to specify the Systems Modeling Language™ (SysML), to guide the implementation of conformant modeling tools, and to provide the basis for the development of material and other resources to train users in the application of SysML.",SysML is a general-purpose modeling language for modeling systems that is intended to facilitate a model-based systems engineering (MBSE) approach to engineer systems.,1,SysML2
model-based systems engineering (MBSE),モデルベースシステムズエンジニアリング (MBSE),SysML is a general-purpose modeling language for modeling systems that is intended to facilitate a model-based systems engineering (MBSE) approach to engineer systems.,It provides the capability to create and visualize models that represent many different aspects of a system.,1,SysML2
requirements,要求,"(Implicitly defined as an aspect of a system model, representing what a system should do)","This includes representing the requirements, structure, and behavior of the system, and the specification of analysis cases and verification cases used to analyze and verify the system.",1,SysML2
structure,構造,"(Implicitly defined as an aspect of a system model, representing how a system is organized)","This includes representing the requirements, structure, and behavior of the system, and the specification of analysis cases and verification cases used to analyze and verify the system.",1,SysML2
behavior,振る舞い,"(Implicitly defined as an aspect of a system model, representing how a system acts and reacts)","This includes representing the requirements, structure, and behavior of the system, and the specification of analysis cases and verification cases used to analyze and verify the system.",1,SysML2
analysis cases,分析ケース,(Implicitly defined as a type of case used to analyze a system),"This includes representing the requirements, structure, and behavior of the system, and the specification of analysis cases and verification cases used to analyze and verify the system.",1,SysML2
verification cases,検証ケース,(Implicitly defined as a type of case used to verify a system),"This includes representing the requirements, structure, and behavior of the system, and the specification of analysis cases and verification cases used to analyze and verify the system.",1,SysML2
Kernel Modeling Language (KerML),カーネルモデリング言語 (KerML),"SysML is defined as an extension of the Kernel Modeling Language (KerML), which provides a common, domain-independent language for building semantically rich and interoperable modeling languages.",SysML also provides a capability to provide further language extensions.,1,SysML2
language extension mechanism,言語拡張メカニズム,(Implicitly defined as a mechanism to customize SysML for specialized domain-specific applications),"It is anticipated that SysML will be customized using this language extension mechanism to model more specialized domain-specific applications, such as automotive, aerospace, healthcare, and information systems, as well as discipline specific extensions such as safety and reliability.",1,SysML2
system,システム,Definitions of system and systems engineering can be found in ISO/IEC 15288 Systems and Software Engineering – System Life Cycle Process.,"The purpose of this standard is to specify the Systems Modeling Language™ (SysML), to guide the implementation of conformant modeling tools, and to provide the basis for the development of material and other resources to train users in the application of SysML.",1,SysML2
systems engineering,システムズエンジニアリング,Definitions of system and systems engineering can be found in ISO/IEC 15288 Systems and Software Engineering – System Life Cycle Process.,SysML is a general-purpose modeling language for modeling systems that is intended to facilitate a model-based systems engineering (MBSE) approach to engineer systems.,1,SysML2
