Term (EN),Equivalent (JP),Definition (EN),Context/Example (EN),Section,File
SysML metamodel,SysMLメタモデル,The SysML metamodel extends the KerML metamodel as specified in the KerML specification [KerML].,The SysML metamodel extends the KerML metamodel as specified in the KerML specification [KerML].,8.1,SysML2
KerML metamodel,KerMLメタモデル,The KerML metamodel as specified in the KerML specification [KerML].,The SysML metamodel extends the KerML metamodel as specified in the KerML specification [KerML].,8.1,SysML2
SysML concrete syntax,SysML具象構文,"The SysML concrete syntax includes a textual notation (see 8.2.2 ), which is generally distinct from that of KerML, though consistent on common elements (such as packages and expressions), and a complete graphical notation (see 8.2.3 ).","The SysML concrete syntax includes a textual notation (see 8.2.2 ), which is generally distinct from that of KerML, though consistent on common elements (such as packages and expressions), and a complete graphical notation (see 8.2.3 ).",8.1,SysML2
textual notation,テキスト表記,The SysML concrete syntax includes a textual notation (see 8.2.2 ).,The SysML concrete syntax includes a textual notation (see 8.2.2 ).,8.1,SysML2
graphical notation,グラフィカル表記,The SysML concrete syntax includes a complete graphical notation (see 8.2.3 ).,... and a complete graphical notation (see 8.2.3 ).,8.1,SysML2
SysML abstract syntax,SysML抽象構文,"The SysML abstract syntax (see 8.3 ) imports the KerML abstract syntax, reusing some KerML metaclasses directly, and further specializing most other KerML metaclasses.","The SysML abstract syntax (see 8.3 ) imports the KerML abstract syntax, reusing some KerML metaclasses directly, and further specializing most other KerML metaclasses.",8.1,SysML2
Kernel abstract syntax,カーネル抽象構文,"The KerML abstract syntax, reusing some KerML metaclasses directly, and further specializing most other KerML metaclasses.","The SysML abstract syntax (see 8.3 ) imports the KerML abstract syntax, reusing some KerML metaclasses directly, and further specializing most other KerML metaclasses.",8.1,SysML2
SysML semantics,SysMLセマンティクス,The SysML semantics (see 8.4 ) are defined by relating the SysML abstract syntax to the semantic models in the Systems Model Library (see Clause 9 ).,The SysML semantics (see 8.4 ) are defined by relating the SysML abstract syntax to the semantic models in the Systems Model Library (see Clause 9 ).,8.1,SysML2
Systems Model Library,システムモデルライブラリ,The semantic models in the Systems Model Library (see Clause 9 ).,The SysML semantics (see 8.4 ) are defined by relating the SysML abstract syntax to the semantic models in the Systems Model Library (see Clause 9 ).,8.1,SysML2
Kernel Model Library,カーネルモデルライブラリ,The Kernel Model Library from KerML.,...which is based on the Kernel Model Library from KerML...,8.1,SysML2
syntactic transformations,構文変換,providing syntactic transformations from SysML models to syntactically equivalent KerML models (including elements that are otherwise implicit in the SysML abstract syntax).,...providing syntactic transformations from SysML models to syntactically equivalent KerML models (including elements that are otherwise implicit in the SysML abstract syntax).,8.1,SysML2
metaclass,メタクラス,"Names of metaclasses appear exactly as in the abstract syntax, including capitalization, except possibly with added pluralization. When used as English common nouns, e.g., ""a Usage"", ""multiple Subsettings"", they refer to instances of the metaclass.","Names of metaclasses appear exactly as in the abstract syntax, including capitalization, except possibly with added pluralization.",8.1,SysML2
metaproperty,メタプロパティ,"Names of properties of metaclasses, when used as English common nouns, e.g., “an ownedUsage”, “multiple nestedActions”, refer to values of the properties. This can be modified using the term ""metaproperty"" as necessary to refer to the metaproperty itself instead of its values.","This can be modified using the term ""metaproperty"" as necessary to refer to the metaproperty itself instead of its values...",8.1,SysML2
SysML Definitions,SysML定義,"Convention 1 above applies to SysML Definitions (e.g., Action), using ""definition"" (or a more specialized term) instead of ""metaclass"" (e.g., ""the action definition Action"").","Convention 1 above applies to SysML Definitions (e.g., Action), using ""definition"" (or a more specialized term) instead of ""metaclass""...",8.1,SysML2
SysML Usages,SysML使用,"Convention 2 above applies to SysML Usages (e.g, actions), using ""usage"" (or a more specialized term) instead of ""metaproperty"" (e.g., ""the action usage actions"").","Convention 2 above applies to SysML Usages (e.g, actions), using ""usage"" (or a more specialized term) instead of ""metaproperty""...",8.1,SysML2
Domain Libraries,ドメインライブラリ,SysML v2 provides an additional set of Domain Libraries (see 9.4 and following) to provide a set of reference models in various domains important to systems modeling (such as Analysis and Quantities and Units).,"Finally, SysML v2 provides an additional set of Domain Libraries (see 9.4 and following)...",8.1,SysML2
Concrete syntax (KerML),具象構文 (KerML),Concrete syntax specifies how the language appears to modelers. Modelers construct and review models using a textual notation that conforms to the concrete syntax specification (see 8.2 ).,Concrete syntax specifies how the language appears to modelers. Modelers construct and review models using a textual notation that conforms to the concrete syntax specification (see 8.2 ).,8.1,KerML1
Abstract syntax (KerML),抽象構文 (KerML),"Abstract syntax specifies linguistic terms and relations between them (as opposed to library model terms), which may be expressed in the concrete syntax (see 8.3 ).","Abstract syntax specifies linguistic terms and relations between them (as opposed to library model terms), which may be expressed in the concrete syntax (see 8.3 ).",8.1,KerML1
Semantics (KerML),セマンティクス (KerML),Semantics specifies the interpretation of models as representations of or specifications for modeled systems (see 8.4 ).,Semantics specifies the interpretation of models as representations of or specifications for modeled systems (see 8.4 ).,8.1,KerML1
Root Layer (KerML),ルート層 (KerML),"The Root Layer defines the syntactic foundation KerML and, as such, does not have a semantic interpretation relative to the modeled system.","The Root Layer defines the syntactic foundation KerML and, as such, does not have a semantic interpretation relative to the modeled system.",8.1,KerML1
Core Layer (KerML),コア層 (KerML),"The Core Layer is grounded in mathematical semantics, supported by the Base package from the Kernel Model Library (see 9.2 ).","The Core Layer is grounded in mathematical semantics, supported by the Base package from the Kernel Model Library (see 9.2 ).",8.1,KerML1
Kernel Layer (KerML),カーネル層 (KerML),The Kernel Layer is given semantics fully through its relationship to the Model Library (see Clause 9 ).,The Kernel Layer is given semantics fully through its relationship to the Model Library (see Clause 9 ).,8.1,KerML1
