Term (EN),Equivalent (JA),Definition (EN),Context/Example (EN),Section,File
Flow Definition,フロー定義,"A flow definition is both a relationship and a kind of action definition (see 7.17 ) that classifies transfers of some payload between interacting occurrences, such as parts and actions. A flow definition is a binary relationship between two ends, the first of which is the source, from which the payload comes, and the second of which is the target, to which the payload is delivered. The transferred payload can be anything (attribute value, item, part, etc.). A flow definition may also have features other than its source and target that characterize the classified transfers separately from the interacting occurrences.","A flow definition is both a relationship and a kind of action definition (see 7.17 ) that classifies transfers of some payload between interacting occurrences, such as parts and actions.",7.16.1,SysML2
Flow Usage,フロー使用,"A flow usage is an action usage (see 7.17 ) that is a usage of a flow definition, connecting usage elements such as part and action usages. It represents the performance of a transfer, as classified by its flow definition, between the values of the interacting usages, which must be occurrences. The transfer is directed from the first end (the source) to the second end (the target).","A flow usage is an action usage (see 7.17 ) that is a usage of a flow definition, connecting usage elements such as part and action usages.",7.16.1,SysML2
Message (Flow Usage),メッセージ (フロー使用),"A message is modeled as a flow usage that specifies that some transfer happens between the source and target ends, and can define the payload that is to be transferred. However, a message does not specify how the payload is to be obtained from the source or delivered to the target.","A message is modeled as a flow usage that specifies that some transfer happens between the source and target ends, and can define the payload that is to be transferred.",7.16.1,SysML2
Streaming Flow (Flow Usage),ストリーミングフロー (フロー使用),"A streaming flow is modeled as a flow usage that not only specifies the source and target of a transfer (and, optionally, the payload), but also identifies the source output feature of the source usage from which the payload is obtained and the target input feature of the target usage to which the payload is to be delivered.","A streaming flow is modeled as a flow usage that not only specifies the source and target of a transfer (and, optionally, the payload), but also identifies the source output feature of the source usage from which the payload is obtained and the target input feature of the target usage to which the payload is to be delivered.",7.16.1,SysML2
Succession Flow (Flow Usage),連続フロー (フロー使用),"A succession flow is modeled as a succession flow usage, which is both a flow usage and a succession. A succession flow is specified in the same way as a streaming flow, but it adds the further constraint that the transfer source must complete before the transfer starts, and the transfer must complete before the target can start.","A succession flow is modeled as a succession flow usage, which is both a flow usage and a succession.",7.16.1,SysML2
Payload (of Flow Definition),ペイロード (フロー定義の),The payload of a flow definition can be constrained by redefining the payload feature of the flow.,The payload of a flow definition can be constrained by redefining the payload feature of the flow.,7.16.2,SysML2
Source Output Feature (of Flow Usage),ソース出力フィーチャ (フロー使用の),"A flow declaration then includes a specification of not only the source and target related features of the flow, but, more specifically, the output feature of the source from which the payload is obtained and the input feature of the target to which the payload is to be delivered.","A flow declaration then includes a specification of not only the source and target related features of the flow, but, more specifically, the output feature of the source from which the payload is obtained and the input feature of the target to which the payload is to be delivered.",7.16.2,SysML2
Target Input Feature (of Flow Usage),ターゲット入力フィーチャ (フロー使用の),"A flow declaration then includes a specification of not only the source and target related features of the flow, but, more specifically, the output feature of the source from which the payload is obtained and the input feature of the target to which the payload is to be delivered.","A flow declaration then includes a specification of not only the source and target related features of the flow, but, more specifically, the output feature of the source from which the payload is obtained and the input feature of the target to which the payload is to be delivered.",7.16.2,SysML2
Flow (KerML),フロー (KerML),An Flow is a Step that represents the transfer of values from one Feature to another. Flows can take non-zero time to complete.,An Flow is a Step that represents the transfer of values from one Feature to another.,8.3.4.9.2,KerML1
PayloadFeature (KerML),ペイロードフィーチャ (KerML),A PayloadFeature is the ownedFeature of a Flow that identifies the things carried by the kinds of transfers that are instances of the Flow.,A PayloadFeature is the ownedFeature of a Flow that identifies the things carried by the kinds of transfers that are instances of the Flow.,8.3.4.9.5,KerML1
PayloadType (KerML),ペイロードタイプ (KerML),The payloadTypes of a Flow are the types of the payloadFeature of the Flow (if any).,The payloadTypes of a Flow are the types of the payloadFeature of the Flow (if any).,8.3.4.9.2,KerML1
SourceOutputFeature (KerML),ソース出力フィーチャ (KerML),The sourceOutputFeature of a Flow is the first ownedFeature of the first connectorEnd of the Flow.,The sourceOutputFeature of a Flow is the first ownedFeature of the first connectorEnd of the Flow.,8.3.4.9.2,KerML1
TargetInputFeature (KerML),ターゲット入力フィーチャ (KerML),The targetInputFeature of a Flow is the first ownedFeature of the second connectorEnd of the Flow.,The targetInputFeature of a Flow is the first ownedFeature of the second connectorEnd of the Flow.,8.3.4.9.2,KerML1
Transfer (KerML),転送 (KerML),A Transfer is a Performance and BinaryLink that carries a Payload from its source to its target.,A Transfer is a Performance and BinaryLink that carries a Payload from its source to its target.,9.2.7.2.9,KerML1
MessageTransfer (KerML),メッセージ転送 (KerML),A MessageTransfer is a Transfer that does not specify where the payload is picked up and dropped off (see FlowTransfer). They are sent by SendPerformances and accepted by AcceptPerformances.,A MessageTransfer is a Transfer that does not specify where the payload is picked up and dropped off (see FlowTransfer).,9.2.7.2.6,KerML1
FlowTransfer (KerML),フロー転送 (KerML),"FlowTransfers are Transfers that start by ""picking up"" their payload from the sourceOutput Feature (or one of its redefinitions) of the source and end with ""dropping it off"" at the targetInput Feature of the target (or one of its redefinitions, see 8.3.3.1.5 about outputs and inputs).","FlowTransfers are Transfers that start by ""picking up"" their payload from the sourceOutput Feature (or one of its redefinitions) of the source and end with ""dropping it off"" at the targetInput Feature of the target (or one of its redefinitions, see 8.3.3.1.5 about outputs and inputs).",9.2.7.2.2,KerML1
FlowTransferBefore (KerML),事前フロー転送 (KerML),A TransferBefore is Transfer that happens after its source and before its target.,A TransferBefore is Transfer that happens after its source and before its target.,9.2.7.2.10,KerML1
SendPerformance (KerML),送信パフォーマンス (KerML),"SendPerformances are Performances that require an outgoingTransferFromSelf from a designated sender Occurrence (defaulting to this), carrying a given payload, optionally to a designated receiver.","SendPerformances are Performances that require an outgoingTransferFromSelf from a designated sender Occurrence (defaulting to this), carrying a given payload, optionally to a designated receiver.",9.2.7.2.8,KerML1
AcceptPerformance (KerML),受信パフォーマンス (KerML),"AcceptPerformances are Performances that require an incomingTransferToSelf of a designated receiver Occurrence (defaulting to this), providing a payload as output.","AcceptPerformances are Performances that require an incomingTransferToSelf of a designated receiver Occurrence (defaulting to this), providing a payload as output.",9.2.7.2.1,KerML1
